group,mean_abs_shap,percent
Red-edge,0.0183322890626484,2.51197805520642
Radar backscatter,0.0389806772887744,5.341319111424628
Topography,0.0398112578476263,5.455129237906217
Vegetation,0.1168152460401619,16.00658453309559
Moisture,0.1289932436588744,17.675272096881066
Burn / soil,0.185155870548052,25.370944240509097
Raw spectral,0.2017063683661378,27.63877272497699
