feature,rf_importance,mean_abs_shap
S2_dry_CVI,0.0707427342991242,0.0637753971632863
S2_dry_MNDWI,0.0702139292971047,0.0562668175441969
DEM_elevation,0.0613661498938256,0.0398112578476263
S2_wet_NBR2,0.0580452011723961,0.0495833009282938
S1_VHasc_p50,0.0566119339982595,0.0389806772887744
S2_dry_NBR2,0.0513938776206138,0.0500256463562155
L89_dry_NIR,0.046819008489256,0.0349284411442556
L89_dry_SWIR1,0.0466454489069525,0.0298794578764757
S2_dry_B2,0.0464616163049377,0.0404853187857949
L89_dry_BSI,0.0459242575939369,0.0412656691393255
S2_dry_NDI,0.0420827076662709,0.029745221848767
L89_dry_Green,0.0412788956133829,0.0311618390764638
L89_dry_MSI,0.0410837028496901,0.0306633925511325
L89_wet_NBR2,0.0386645821973896,0.0290325805859366
S2_wet_B12,0.0378925539179612,0.0255294512120069
S2_wet_CVI,0.0347315714971489,0.0232946270281086
S2_wet_B8,0.0329977048372826,0.0206495897043555
S2_dry_B5,0.0299876407843213,0.0183322890626484
S2_dry_NDMI,0.0276931025914395,0.0178334053291579
L89_wet_SWIR2,0.0249095788855218,0.0152486735382806
L89_wet_NIR,0.0241182235505496,0.0119469295827452
S2_wet_NDMI,0.0204890926918863,0.0100930452354529
L89_wet_NDMI,0.0177685504020724,0.0075494667102608
L89_wet_MSI,0.0166275870168307,0.0065871162886734
L89_wet_Green,0.0154503479218441,0.0071253409840402
