strategy,feature_count_target,n_selected,seed,class_id,class_name,producer_accuracy,user_accuracy,f1,support_true,support_pred
RF_rank_only,20,20,2024,1,Sun coffee,0.7777777777777778,0.813953488372093,0.7954545454545455,90,86
RF_rank_only,20,20,2024,2,Intercrop coffee,0.8666666666666667,0.8041237113402062,0.8342245989304814,90,97
RF_rank_only,20,20,2024,3,Newly planted coffee,0.9777777777777777,0.946236559139785,0.9617486338797814,90,93
RF_rank_only,20,20,2024,4,Rubber,0.8666666666666667,0.975,0.9176470588235294,90,80
RF_rank_only,20,20,2024,5,Partially vegetative,0.9444444444444444,0.9239130434782609,0.934065934065934,90,92
RF_rank_only,20,20,2024,6,Rice,0.9333333333333333,1.0,0.9655172413793104,90,84
RF_rank_only,20,20,2024,7,Other upland crops,0.9333333333333333,0.9230769230769231,0.9281767955801106,90,91
RF_rank_only,20,20,2024,8,Forest,0.9777777777777777,0.9166666666666666,0.946236559139785,90,96
RF_rank_only,20,20,2024,9,Water,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,90
RF_rank_only,20,20,2024,10,Built,0.9777777777777777,0.967032967032967,0.9723756906077348,90,91
RF_rank_only,20,20,2025,1,Sun coffee,0.7777777777777778,0.8235294117647058,0.7999999999999999,90,85
RF_rank_only,20,20,2025,2,Intercrop coffee,0.8666666666666667,0.7959183673469388,0.8297872340425533,90,98
RF_rank_only,20,20,2025,3,Newly planted coffee,0.9777777777777777,0.946236559139785,0.9617486338797814,90,93
RF_rank_only,20,20,2025,4,Rubber,0.8666666666666667,0.975,0.9176470588235294,90,80
RF_rank_only,20,20,2025,5,Partially vegetative,0.9444444444444444,0.9239130434782609,0.934065934065934,90,92
RF_rank_only,20,20,2025,6,Rice,0.9333333333333333,1.0,0.9655172413793104,90,84
RF_rank_only,20,20,2025,7,Other upland crops,0.9333333333333333,0.9130434782608695,0.9230769230769231,90,92
RF_rank_only,20,20,2025,8,Forest,0.9777777777777777,0.9166666666666666,0.946236559139785,90,96
RF_rank_only,20,20,2025,9,Water,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,90
RF_rank_only,20,20,2025,10,Built,0.9666666666666667,0.9666666666666667,0.9666666666666667,90,90
RF_rank_only,20,20,2026,1,Sun coffee,0.7777777777777778,0.8235294117647058,0.7999999999999999,90,85
RF_rank_only,20,20,2026,2,Intercrop coffee,0.8666666666666667,0.8041237113402062,0.8342245989304814,90,97
RF_rank_only,20,20,2026,3,Newly planted coffee,0.9777777777777777,0.946236559139785,0.9617486338797814,90,93
RF_rank_only,20,20,2026,4,Rubber,0.8777777777777778,0.9753086419753086,0.9239766081871346,90,81
RF_rank_only,20,20,2026,5,Partially vegetative,0.9444444444444444,0.9139784946236559,0.9289617486338798,90,93
RF_rank_only,20,20,2026,6,Rice,0.9333333333333333,1.0,0.9655172413793104,90,84
RF_rank_only,20,20,2026,7,Other upland crops,0.9333333333333333,0.9230769230769231,0.9281767955801106,90,91
RF_rank_only,20,20,2026,8,Forest,0.9666666666666667,0.9157894736842105,0.9405405405405406,90,95
RF_rank_only,20,20,2026,9,Water,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,90
RF_rank_only,20,20,2026,10,Built,0.9777777777777777,0.967032967032967,0.9723756906077348,90,91
RF_rank_only,20,20,2027,1,Sun coffee,0.7777777777777778,0.813953488372093,0.7954545454545455,90,86
RF_rank_only,20,20,2027,2,Intercrop coffee,0.8666666666666667,0.8041237113402062,0.8342245989304814,90,97
RF_rank_only,20,20,2027,3,Newly planted coffee,0.9777777777777777,0.946236559139785,0.9617486338797814,90,93
RF_rank_only,20,20,2027,4,Rubber,0.8777777777777778,0.9634146341463414,0.9186046511627907,90,82
RF_rank_only,20,20,2027,5,Partially vegetative,0.9444444444444444,0.9239130434782609,0.934065934065934,90,92
RF_rank_only,20,20,2027,6,Rice,0.9333333333333333,1.0,0.9655172413793104,90,84
RF_rank_only,20,20,2027,7,Other upland crops,0.9333333333333333,0.9230769230769231,0.9281767955801106,90,91
RF_rank_only,20,20,2027,8,Forest,0.9555555555555556,0.9148936170212766,0.9347826086956522,90,94
RF_rank_only,20,20,2027,9,Water,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,90
RF_rank_only,20,20,2027,10,Built,0.9777777777777777,0.967032967032967,0.9723756906077348,90,91
RF_rank_only,20,20,2028,1,Sun coffee,0.7777777777777778,0.813953488372093,0.7954545454545455,90,86
RF_rank_only,20,20,2028,2,Intercrop coffee,0.8666666666666667,0.8041237113402062,0.8342245989304814,90,97
RF_rank_only,20,20,2028,3,Newly planted coffee,0.9777777777777777,0.9361702127659575,0.9565217391304347,90,94
RF_rank_only,20,20,2028,4,Rubber,0.8777777777777778,0.9753086419753086,0.9239766081871346,90,81
RF_rank_only,20,20,2028,5,Partially vegetative,0.9333333333333333,0.9130434782608695,0.9230769230769231,90,92
RF_rank_only,20,20,2028,6,Rice,0.9333333333333333,1.0,0.9655172413793104,90,84
RF_rank_only,20,20,2028,7,Other upland crops,0.9333333333333333,0.9230769230769231,0.9281767955801106,90,91
RF_rank_only,20,20,2028,8,Forest,0.9666666666666667,0.925531914893617,0.9456521739130436,90,94
RF_rank_only,20,20,2028,9,Water,0.9777777777777777,0.9777777777777777,0.9777777777777777,90,90
RF_rank_only,20,20,2028,10,Built,0.9777777777777777,0.967032967032967,0.9723756906077348,90,91
RF_rank_only,25,25,2024,1,Sun coffee,0.7777777777777778,0.8433734939759037,0.8092485549132947,90,83
RF_rank_only,25,25,2024,2,Intercrop coffee,0.8888888888888888,0.8163265306122449,0.851063829787234,90,98
RF_rank_only,25,25,2024,3,Newly planted coffee,0.9777777777777777,0.946236559139785,0.9617486338797814,90,93
RF_rank_only,25,25,2024,4,Rubber,0.8888888888888888,0.9876543209876543,0.935672514619883,90,81
RF_rank_only,25,25,2024,5,Partially vegetative,0.9555555555555556,0.945054945054945,0.9502762430939227,90,91
RF_rank_only,25,25,2024,6,Rice,0.9333333333333333,1.0,0.9655172413793104,90,84
RF_rank_only,25,25,2024,7,Other upland crops,0.9222222222222223,0.9325842696629213,0.9273743016759777,90,89
RF_rank_only,25,25,2024,8,Forest,0.9777777777777777,0.8888888888888888,0.931216931216931,90,99
