OA,Kappa,MacroF1,CoffeeSubclassMacroF1,strategy,feature_count_target,n_selected,seed
0.9233333333333333,0.9148148148148149,0.9233224835638989,0.8638092594216027,RF_rank_only,20,20,2024
0.9222222222222223,0.9135802469135802,0.9222524028852261,0.8638452893074448,RF_rank_only,20,20,2025
0.9233333333333333,0.9148148148148149,0.9233299635516751,0.8653244109367542,RF_rank_only,20,20,2026
0.9222222222222223,0.9135802469135803,0.9222728477534117,0.8638092594216027,RF_rank_only,20,20,2027
0.9222222222222223,0.9135802469135803,0.9222754094037494,0.8620669611718205,RF_rank_only,20,20,2028
0.9277777777777778,0.9197530864197531,0.9276928995377081,0.87402033952677,RF_rank_only,25,25,2024
0.9266666666666666,0.9185185185185185,0.9267292253089071,0.8747470116985289,RF_rank_only,25,25,2025
0.9288888888888889,0.9209876543209876,0.9288015724653548,0.8778739040739763,RF_rank_only,25,25,2026
0.9266666666666666,0.9185185185185185,0.9267101608968058,0.8747470116985289,RF_rank_only,25,25,2027
0.9277777777777778,0.9197530864197531,0.9276492341549789,0.8755886506797029,RF_rank_only,25,25,2028
0.9266666666666666,0.9185185185185185,0.9264952683326442,0.8829560142875007,RF_rank_only,30,30,2024
0.9244444444444444,0.9160493827160494,0.9241214297597337,0.8804809898126705,RF_rank_only,30,30,2025
0.9244444444444444,0.9160493827160494,0.9243180327993462,0.8814200033647565,RF_rank_only,30,30,2026
0.9233333333333333,0.9148148148148149,0.9231289570600953,0.8773601514905124,RF_rank_only,30,30,2027
0.9255555555555556,0.917283950617284,0.9252358648157666,0.8804809898126705,RF_rank_only,30,30,2028
0.92,0.9111111111111111,0.9197719275961711,0.8735164827284526,RF_rank_only,35,35,2024
0.9211111111111111,0.9123456790123456,0.9208829712486513,0.8735164827284526,RF_rank_only,35,35,2025
0.9233333333333333,0.9148148148148149,0.9231089716510338,0.875258780978235,RF_rank_only,35,35,2026
0.9244444444444444,0.9160493827160494,0.9242259013205784,0.8791024497402947,RF_rank_only,35,35,2027
0.9233333333333333,0.9148148148148149,0.9230257792798223,0.8767947919009792,RF_rank_only,35,35,2028
0.9288888888888889,0.9209876543209876,0.9287557689165036,0.8885219285219286,RF_rank_only,40,40,2024
0.9255555555555556,0.917283950617284,0.9254207859123034,0.8829361099460845,RF_rank_only,40,40,2025
0.9255555555555556,0.917283950617284,0.9254265817764098,0.8885219285219286,RF_rank_only,40,40,2026
0.9266666666666666,0.9185185185185185,0.9266353455947997,0.8869526172751979,RF_rank_only,40,40,2027
0.9244444444444444,0.9160493827160494,0.9241740660862995,0.8822242881562508,RF_rank_only,40,40,2028
0.92,0.9111111111111111,0.9197771919678421,0.8700348320710702,RF_Pearson,20,20,2024
0.9211111111111111,0.9123456790123456,0.9209327507393972,0.8700348320710702,RF_Pearson,20,20,2025
0.9222222222222223,0.9135802469135803,0.9220077826272709,0.8754186620163035,RF_Pearson,20,20,2026
0.9233333333333333,0.9148148148148149,0.9231730743407518,0.8738546745282036,RF_Pearson,20,20,2027
0.9211111111111111,0.9123456790123456,0.9209836180573108,0.86856518937795,RF_Pearson,20,20,2028
0.93,0.9222222222222223,0.92994566419329,0.8850377706899447,RF_Pearson,25,25,2024
0.9288888888888889,0.9209876543209876,0.9287001402192805,0.8809833398963095,RF_Pearson,25,25,2025
0.93,0.9222222222222222,0.9297803141080128,0.8863894316127411,RF_Pearson,25,25,2026
0.9233333333333333,0.9148148148148149,0.9231318293057897,0.8771396711342497,RF_Pearson,25,25,2027
0.9277777777777778,0.9197530864197531,0.9277849669478121,0.8834793291315032,RF_Pearson,25,25,2028
0.9288888888888889,0.9209876543209876,0.9287897742596305,0.8868469928115514,RF_Pearson,30,30,2024
0.9322222222222222,0.9246913580246914,0.9321703334428616,0.892689374950412,RF_Pearson,30,30,2025
0.9344444444444444,0.9271604938271605,0.9344785673240106,0.8875674596564153,RF_Pearson,30,30,2026
0.9311111111111111,0.9234567901234568,0.9311162257944241,0.8873608824468807,RF_Pearson,30,30,2027
0.9322222222222222,0.9246913580246914,0.9321766369542825,0.892689374950412,RF_Pearson,30,30,2028
0.9355555555555556,0.928395061728395,0.935528047641548,0.8891620380897418,RF_Pearson,35,35,2024
0.9366666666666666,0.9296296296296296,0.9366104008779075,0.8891059789254309,RF_Pearson,35,35,2025
0.9344444444444444,0.9271604938271605,0.9342829519763056,0.8884377084095262,RF_Pearson,35,35,2026
0.9344444444444444,0.9271604938271605,0.9345221515409452,0.8896237313961124,RF_Pearson,35,35,2027
0.9355555555555556,0.928395061728395,0.9354845937205623,0.8907751581327584,RF_Pearson,35,35,2028
0.9355555555555556,0.928395061728395,0.9353566677050594,0.8846098741216971,RF_Pearson,40,40,2024
0.9366666666666666,0.9296296296296296,0.9365517171769921,0.8923136774017743,RF_Pearson,40,40,2025
0.9344444444444444,0.9271604938271605,0.934441164074103,0.8891620380897418,RF_Pearson,40,40,2026
0.9366666666666666,0.9296296296296297,0.9366741772595519,0.8891620380897418,RF_Pearson,40,40,2027
0.9377777777777778,0.9308641975308642,0.9377588190788024,0.8946511271250065,RF_Pearson,40,40,2028
0.9266666666666666,0.9185185185185185,0.9265048061547996,0.8719583440528257,RF_VIF10,20,15,2024
0.9244444444444444,0.9160493827160494,0.9244155920590129,0.8632226420449506,RF_VIF10,20,15,2025
0.9244444444444444,0.9160493827160494,0.9244481430038709,0.8670193338661129,RF_VIF10,20,15,2026
0.9233333333333333,0.9148148148148149,0.9233940071765236,0.8619638593401712,RF_VIF10,20,15,2027
0.9255555555555556,0.917283950617284,0.9254457757524592,0.8647639630477159,RF_VIF10,20,15,2028
0.9266666666666666,0.9185185185185185,0.9265048061547996,0.8719583440528257,RF_VIF10,25,15,2024
0.9244444444444444,0.9160493827160494,0.9244155920590129,0.8632226420449506,RF_VIF10,25,15,2025
0.9244444444444444,0.9160493827160494,0.9244481430038709,0.8670193338661129,RF_VIF10,25,15,2026
0.9233333333333333,0.9148148148148149,0.9233940071765236,0.8619638593401712,RF_VIF10,25,15,2027
0.9255555555555556,0.917283950617284,0.9254457757524592,0.8647639630477159,RF_VIF10,25,15,2028
0.9266666666666666,0.9185185185185185,0.9265048061547996,0.8719583440528257,RF_VIF10,30,15,2024
0.9244444444444444,0.9160493827160494,0.9244155920590129,0.8632226420449506,RF_VIF10,30,15,2025
0.9244444444444444,0.9160493827160494,0.9244481430038709,0.8670193338661129,RF_VIF10,30,15,2026
0.9233333333333333,0.9148148148148149,0.9233940071765236,0.8619638593401712,RF_VIF10,30,15,2027
0.9255555555555556,0.917283950617284,0.9254457757524592,0.8647639630477159,RF_VIF10,30,15,2028
0.9266666666666666,0.9185185185185185,0.9265048061547996,0.8719583440528257,RF_VIF10,35,15,2024
0.9244444444444444,0.9160493827160494,0.9244155920590129,0.8632226420449506,RF_VIF10,35,15,2025
0.9244444444444444,0.9160493827160494,0.9244481430038709,0.8670193338661129,RF_VIF10,35,15,2026
0.9233333333333333,0.9148148148148149,0.9233940071765236,0.8619638593401712,RF_VIF10,35,15,2027
0.9255555555555556,0.917283950617284,0.9254457757524592,0.8647639630477159,RF_VIF10,35,15,2028
0.9266666666666666,0.9185185185185185,0.9265048061547996,0.8719583440528257,RF_VIF10,40,15,2024
0.9244444444444444,0.9160493827160494,0.9244155920590129,0.8632226420449506,RF_VIF10,40,15,2025
0.9244444444444444,0.9160493827160494,0.9244481430038709,0.8670193338661129,RF_VIF10,40,15,2026
0.9233333333333333,0.9148148148148149,0.9233940071765236,0.8619638593401712,RF_VIF10,40,15,2027
0.9255555555555556,0.917283950617284,0.9254457757524592,0.8647639630477159,RF_VIF10,40,15,2028
0.93,0.9222222222222223,0.9298662829497563,0.8830825005864454,VIF10_only,34,34,2024
0.93,0.9222222222222223,0.9299179001592262,0.8851056669807512,VIF10_only,34,34,2025
0.93,0.9222222222222223,0.929835455573117,0.8849485836162062,VIF10_only,34,34,2026
0.93,0.9222222222222223,0.9298541905009852,0.884963768115942,VIF10_only,34,34,2027
0.9322222222222222,0.9246913580246914,0.9320587539249466,0.8920240589185967,VIF10_only,34,34,2028
