feature,importance,strategy,feature_count_target,n_selected,seed,rank
L89_dry_SWIR1,0.03732871811069643,RF_rank_only,20,20,2027,17
L89_dry_Blue,0.033182884802750216,RF_rank_only,20,20,2027,18
L89_dry_SWIR2_p75,0.032905279950608095,RF_rank_only,20,20,2027,19
S2_dry_B3,0.03244023127968607,RF_rank_only,20,20,2027,20
S2_dry_CVI,0.081299274125634,RF_rank_only,20,20,2028,1
S2_wet_NBR2,0.0720320005105487,RF_rank_only,20,20,2028,2
DEM_elevation,0.07082543754300065,RF_rank_only,20,20,2028,3
S2_dry_MNDWI,0.06889144379567165,RF_rank_only,20,20,2028,4
S1_VHasc_p50,0.057753126761892204,RF_rank_only,20,20,2028,5
S2_dry_NBR2,0.05748955280729209,RF_rank_only,20,20,2028,6
S1_VVasc_p50,0.05256916189390726,RF_rank_only,20,20,2028,7
L89_dry_NBR2,0.04979963561972574,RF_rank_only,20,20,2028,8
S2_wet_GNDVI,0.04975192853994698,RF_rank_only,20,20,2028,9
L89_dry_NBR,0.049529244361636825,RF_rank_only,20,20,2028,10
S2_dry_B11,0.04934864247317822,RF_rank_only,20,20,2028,11
L89_dry_Red,0.04394929143483728,RF_rank_only,20,20,2028,12
S2_dry_B12,0.04245079109505819,RF_rank_only,20,20,2028,13
L89_dry_SWIR2,0.03982039025588953,RF_rank_only,20,20,2028,14
S2_dry_B2,0.039681524736211435,RF_rank_only,20,20,2028,15
L89_dry_Green,0.038545686390754653,RF_rank_only,20,20,2028,16
L89_dry_SWIR1,0.03705552158858614,RF_rank_only,20,20,2028,17
L89_dry_Blue,0.03346677163100787,RF_rank_only,20,20,2028,18
S2_dry_B3,0.032960399111141334,RF_rank_only,20,20,2028,19
L89_dry_SWIR2_p75,0.032780175324079286,RF_rank_only,20,20,2028,20
S2_dry_CVI,0.06272656090436325,RF_rank_only,25,25,2024,1
DEM_elevation,0.05751087396052444,RF_rank_only,25,25,2024,2
S2_dry_MNDWI,0.05689536184693296,RF_rank_only,25,25,2024,3
S2_wet_NBR2,0.056269337328747004,RF_rank_only,25,25,2024,4
S2_dry_NBR2,0.047574494874333455,RF_rank_only,25,25,2024,5
S1_VHasc_p50,0.04391633263634026,RF_rank_only,25,25,2024,6
S1_VVasc_p50,0.04209490920082203,RF_rank_only,25,25,2024,7
L89_dry_NBR,0.04145303954519544,RF_rank_only,25,25,2024,8
S2_dry_B6,0.04124232116571586,RF_rank_only,25,25,2024,9
S2_dry_B11,0.04119213190860005,RF_rank_only,25,25,2024,10
S2_dry_B8,0.04072680266585108,RF_rank_only,25,25,2024,11
L89_dry_NBR2,0.03923081945781367,RF_rank_only,25,25,2024,12
S2_dry_B12,0.036877385852428037,RF_rank_only,25,25,2024,13
L89_dry_Red,0.03664142912457848,RF_rank_only,25,25,2024,14
S2_wet_NDWI,0.0356303738822198,RF_rank_only,25,25,2024,15
L89_dry_Green,0.035542764563415825,RF_rank_only,25,25,2024,16
S2_wet_GNDVI,0.03517205212762473,RF_rank_only,25,25,2024,17
S2_dry_B2,0.03479507545755784,RF_rank_only,25,25,2024,18
L89_dry_SWIR2,0.03442508819785624,RF_rank_only,25,25,2024,19
S2_wet_NBR,0.033405213760480564,RF_rank_only,25,25,2024,20
L89_dry_SWIR1,0.03120359866531439,RF_rank_only,25,25,2024,21
L89_dry_Blue,0.029975861014941062,RF_rank_only,25,25,2024,22
L89_dry_SWIR2_p75,0.029867033718571915,RF_rank_only,25,25,2024,23
S2_dry_B3,0.029274825835561413,RF_rank_only,25,25,2024,24
S2_dry_MTCI,0.026356312304210202,RF_rank_only,25,25,2024,25
S2_dry_CVI,0.06379430514069087,RF_rank_only,25,25,2025,1
DEM_elevation,0.05719255118888764,RF_rank_only,25,25,2025,2
S2_wet_NBR2,0.0566681152832462,RF_rank_only,25,25,2025,3
S2_dry_MNDWI,0.05507445505390283,RF_rank_only,25,25,2025,4
S2_dry_NBR2,0.04876510965095432,RF_rank_only,25,25,2025,5
S1_VHasc_p50,0.0463419635200038,RF_rank_only,25,25,2025,6
S2_dry_B8,0.04155276199152259,RF_rank_only,25,25,2025,7
S2_dry_B11,0.04135017190734688,RF_rank_only,25,25,2025,8
L89_dry_NBR,0.04130119365127102,RF_rank_only,25,25,2025,9
S1_VVasc_p50,0.04050816316363323,RF_rank_only,25,25,2025,10
S2_dry_B6,0.040038790980950686,RF_rank_only,25,25,2025,11
L89_dry_NBR2,0.038735516949384895,RF_rank_only,25,25,2025,12
L89_dry_Red,0.03795003867820194,RF_rank_only,25,25,2025,13
S2_dry_B12,0.03777765903019876,RF_rank_only,25,25,2025,14
S2_wet_GNDVI,0.0374316252595625,RF_rank_only,25,25,2025,15
S2_dry_B2,0.03509262443362451,RF_rank_only,25,25,2025,16
S2_wet_NDWI,0.034559012998794235,RF_rank_only,25,25,2025,17
L89_dry_SWIR2,0.03424466701387422,RF_rank_only,25,25,2025,18
L89_dry_Green,0.03406306484471779,RF_rank_only,25,25,2025,19
S2_wet_NBR,0.03188847892373007,RF_rank_only,25,25,2025,20
L89_dry_Blue,0.030730890275161887,RF_rank_only,25,25,2025,21
L89_dry_SWIR1,0.030461911011007786,RF_rank_only,25,25,2025,22
S2_dry_B3,0.029843425570832412,RF_rank_only,25,25,2025,23
L89_dry_SWIR2_p75,0.02777524874159187,RF_rank_only,25,25,2025,24
S2_dry_MTCI,0.02685825473690694,RF_rank_only,25,25,2025,25
S2_dry_CVI,0.0642036145888273,RF_rank_only,25,25,2026,1
DEM_elevation,0.05954401521386164,RF_rank_only,25,25,2026,2
S2_wet_NBR2,0.055137701492481005,RF_rank_only,25,25,2026,3
S2_dry_MNDWI,0.055086254242412584,RF_rank_only,25,25,2026,4
S2_dry_NBR2,0.04666854926751663,RF_rank_only,25,25,2026,5
S1_VHasc_p50,0.04290203956740385,RF_rank_only,25,25,2026,6
S2_dry_B6,0.04196119258835718,RF_rank_only,25,25,2026,7
L89_dry_NBR,0.04168517565228484,RF_rank_only,25,25,2026,8
S2_dry_B8,0.04111802977000851,RF_rank_only,25,25,2026,9
S1_VVasc_p50,0.040976048894773645,RF_rank_only,25,25,2026,10
L89_dry_NBR2,0.04041546939526585,RF_rank_only,25,25,2026,11
S2_dry_B11,0.04036542625911058,RF_rank_only,25,25,2026,12
L89_dry_Red,0.03788157829326834,RF_rank_only,25,25,2026,13
S2_wet_NDWI,0.03621355876988761,RF_rank_only,25,25,2026,14
S2_dry_B12,0.03596912648060357,RF_rank_only,25,25,2026,15
S2_dry_B2,0.03567109341275178,RF_rank_only,25,25,2026,16
S2_wet_GNDVI,0.03446735187860287,RF_rank_only,25,25,2026,17
S2_wet_NBR,0.034007859200085554,RF_rank_only,25,25,2026,18
L89_dry_SWIR2,0.03397341992252734,RF_rank_only,25,25,2026,19
L89_dry_Green,0.033912023913173335,RF_rank_only,25,25,2026,20
L89_dry_SWIR1,0.031145833486096876,RF_rank_only,25,25,2026,21
S2_dry_B3,0.03049280013257531,RF_rank_only,25,25,2026,22
L89_dry_Blue,0.030130933274981935,RF_rank_only,25,25,2026,23
L89_dry_SWIR2_p75,0.02899372243587969,RF_rank_only,25,25,2026,24
S2_dry_MTCI,0.02707718186726224,RF_rank_only,25,25,2026,25
S2_dry_CVI,0.06518785680987567,RF_rank_only,25,25,2027,1
DEM_elevation,0.05733493758098043,RF_rank_only,25,25,2027,2
S2_wet_NBR2,0.056109183897022505,RF_rank_only,25,25,2027,3
S2_dry_MNDWI,0.05439189453308782,RF_rank_only,25,25,2027,4
S1_VHasc_p50,0.045609729649733075,RF_rank_only,25,25,2027,5
S2_dry_NBR2,0.04493245510157992,RF_rank_only,25,25,2027,6
L89_dry_NBR,0.04170348685796793,RF_rank_only,25,25,2027,7
S2_dry_B8,0.04135503412190652,RF_rank_only,25,25,2027,8
S1_VVasc_p50,0.04125838853570563,RF_rank_only,25,25,2027,9
S2_dry_B6,0.04010055715320786,RF_rank_only,25,25,2027,10
S2_dry_B11,0.03922001676722481,RF_rank_only,25,25,2027,11
L89_dry_NBR2,0.03842463710881083,RF_rank_only,25,25,2027,12
L89_dry_Red,0.03787161020413827,RF_rank_only,25,25,2027,13
S2_dry_B12,0.036612804603031145,RF_rank_only,25,25,2027,14
L89_dry_SWIR2,0.035892294300610916,RF_rank_only,25,25,2027,15
S2_wet_NDWI,0.03580318986038075,RF_rank_only,25,25,2027,16
L89_dry_Green,0.03577635890042866,RF_rank_only,25,25,2027,17
S2_wet_GNDVI,0.03570016806572279,RF_rank_only,25,25,2027,18
S2_dry_B2,0.03544451002223703,RF_rank_only,25,25,2027,19
S2_wet_NBR,0.034269602220842535,RF_rank_only,25,25,2027,20
L89_dry_SWIR1,0.03179802121631366,RF_rank_only,25,25,2027,21
L89_dry_Blue,0.0317585732381227,RF_rank_only,25,25,2027,22
S2_dry_B3,0.028655974666703374,RF_rank_only,25,25,2027,23
L89_dry_SWIR2_p75,0.02822846326267321,RF_rank_only,25,25,2027,24
S2_dry_MTCI,0.026560251321691916,RF_rank_only,25,25,2027,25
S2_dry_CVI,0.0652040940423747,RF_rank_only,25,25,2028,1
DEM_elevation,0.057169571647411904,RF_rank_only,25,25,2028,2
S2_wet_NBR2,0.05682126782847986,RF_rank_only,25,25,2028,3
S2_dry_MNDWI,0.056296467226913935,RF_rank_only,25,25,2028,4
S1_VHasc_p50,0.04560159481882617,RF_rank_only,25,25,2028,5
S2_dry_NBR2,0.045574160891282564,RF_rank_only,25,25,2028,6
S2_dry_B8,0.042367078410932554,RF_rank_only,25,25,2028,7
L89_dry_NBR,0.04180602908267353,RF_rank_only,25,25,2028,8
L89_dry_NBR2,0.04127944648550818,RF_rank_only,25,25,2028,9
S1_VVasc_p50,0.04104014042075051,RF_rank_only,25,25,2028,10
S2_dry_B11,0.04021754688516518,RF_rank_only,25,25,2028,11
S2_dry_B6,0.040060729345337644,RF_rank_only,25,25,2028,12
L89_dry_Red,0.0369135233898069,RF_rank_only,25,25,2028,13
S2_dry_B2,0.03565022252232809,RF_rank_only,25,25,2028,14
S2_dry_B12,0.034928272381746985,RF_rank_only,25,25,2028,15
S2_wet_NDWI,0.034604098480854766,RF_rank_only,25,25,2028,16
S2_wet_GNDVI,0.03451156770071956,RF_rank_only,25,25,2028,17
L89_dry_Green,0.034096211136165996,RF_rank_only,25,25,2028,18
L89_dry_SWIR2,0.033281515669106775,RF_rank_only,25,25,2028,19
S2_wet_NBR,0.032917849595530534,RF_rank_only,25,25,2028,20
L89_dry_SWIR1,0.032101014813210635,RF_rank_only,25,25,2028,21
L89_dry_Blue,0.03120639025125569,RF_rank_only,25,25,2028,22
L89_dry_SWIR2_p75,0.03046166582820587,RF_rank_only,25,25,2028,23
S2_dry_B3,0.028927664029191377,RF_rank_only,25,25,2028,24
S2_dry_MTCI,0.026961877116220147,RF_rank_only,25,25,2028,25
S2_dry_CVI,0.0549872956933003,RF_rank_only,30,30,2024,1
DEM_elevation,0.05110654590141496,RF_rank_only,30,30,2024,2
S2_wet_NBR2,0.049885954917123276,RF_rank_only,30,30,2024,3
S2_dry_MNDWI,0.04754362559853622,RF_rank_only,30,30,2024,4
S2_dry_NBR2,0.03780429011601878,RF_rank_only,30,30,2024,5
S1_VHasc_p50,0.03765172841126947,RF_rank_only,30,30,2024,6
S2_dry_B11,0.035945624287782474,RF_rank_only,30,30,2024,7
S1_VVasc_p50,0.03458672098277433,RF_rank_only,30,30,2024,8
S2_wet_GNDVI,0.03342570797713061,RF_rank_only,30,30,2024,9
L89_dry_NBR2,0.03302125412543721,RF_rank_only,30,30,2024,10
S2_wet_NDWI,0.0323916584469913,RF_rank_only,30,30,2024,11
L89_dry_Red,0.032389334955476794,RF_rank_only,30,30,2024,12
L89_dry_BSI,0.031737209659439596,RF_rank_only,30,30,2024,13
S2_dry_B12,0.03164127440103658,RF_rank_only,30,30,2024,14
L89_dry_Green,0.03147909960805319,RF_rank_only,30,30,2024,15
S2_dry_B2,0.03147670644185243,RF_rank_only,30,30,2024,16
S2_dry_B8,0.030784992817258494,RF_rank_only,30,30,2024,17
S2_dry_B7,0.030773197285516304,RF_rank_only,30,30,2024,18
S2_dry_B6,0.030600938923786715,RF_rank_only,30,30,2024,19
L89_dry_NBR,0.03013816054230803,RF_rank_only,30,30,2024,20
S2_dry_NDWI,0.03002653996170778,RF_rank_only,30,30,2024,21
S2_wet_NBR,0.029991807324408336,RF_rank_only,30,30,2024,22
L89_dry_SWIR2,0.02894186474307747,RF_rank_only,30,30,2024,23
S2_dry_NDI,0.028508282025445347,RF_rank_only,30,30,2024,24
L89_dry_NDMI,0.027003958365060976,RF_rank_only,30,30,2024,25
L89_dry_SWIR1,0.026884138628871183,RF_rank_only,30,30,2024,26
L89_dry_Blue,0.026483656044020275,RF_rank_only,30,30,2024,27
S2_dry_B3,0.02635419003446564,RF_rank_only,30,30,2024,28
L89_dry_SWIR2_p75,0.025237975589825077,RF_rank_only,30,30,2024,29
S2_dry_MTCI,0.021196266190610918,RF_rank_only,30,30,2024,30
S2_dry_CVI,0.056194095884588645,RF_rank_only,30,30,2025,1
S2_wet_NBR2,0.05037757607551864,RF_rank_only,30,30,2025,2
DEM_elevation,0.050055248931904536,RF_rank_only,30,30,2025,3
S2_dry_MNDWI,0.04887300247960274,RF_rank_only,30,30,2025,4
S1_VHasc_p50,0.037012159574499895,RF_rank_only,30,30,2025,5
S1_VVasc_p50,0.03692080700552435,RF_rank_only,30,30,2025,6
S2_dry_NBR2,0.03616261492435053,RF_rank_only,30,30,2025,7
S2_dry_B11,0.03496172939177975,RF_rank_only,30,30,2025,8
L89_dry_NBR2,0.03342485578867331,RF_rank_only,30,30,2025,9
S2_dry_B2,0.032853009098730526,RF_rank_only,30,30,2025,10
S2_wet_NDWI,0.032255754612853335,RF_rank_only,30,30,2025,11
S2_dry_B6,0.0317964701271506,RF_rank_only,30,30,2025,12
L89_dry_BSI,0.03164348707889808,RF_rank_only,30,30,2025,13
S2_dry_B12,0.03151999580576842,RF_rank_only,30,30,2025,14
S2_dry_B8,0.03130703862648475,RF_rank_only,30,30,2025,15
S2_wet_GNDVI,0.03101391808954312,RF_rank_only,30,30,2025,16
L89_dry_Green,0.030729693180688078,RF_rank_only,30,30,2025,17
L89_dry_NBR,0.03039951484882178,RF_rank_only,30,30,2025,18
L89_dry_Red,0.03025118255818241,RF_rank_only,30,30,2025,19
S2_dry_B7,0.029902631147505628,RF_rank_only,30,30,2025,20
S2_wet_NBR,0.029755201448439062,RF_rank_only,30,30,2025,21
S2_dry_NDI,0.029641723983816908,RF_rank_only,30,30,2025,22
S2_dry_NDWI,0.02954371087822511,RF_rank_only,30,30,2025,23
L89_dry_SWIR2,0.028773715592302025,RF_rank_only,30,30,2025,24
L89_dry_NDMI,0.0271850935685777,RF_rank_only,30,30,2025,25
L89_dry_Blue,0.02700366357442708,RF_rank_only,30,30,2025,26
L89_dry_SWIR1,0.026928900168914006,RF_rank_only,30,30,2025,27
S2_dry_B3,0.026672987785643504,RF_rank_only,30,30,2025,28
L89_dry_SWIR2_p75,0.025907447045797543,RF_rank_only,30,30,2025,29
S2_dry_MTCI,0.020932770722787923,RF_rank_only,30,30,2025,30
S2_dry_CVI,0.05505539572432676,RF_rank_only,30,30,2026,1
S2_dry_MNDWI,0.049749536726014155,RF_rank_only,30,30,2026,2
S2_wet_NBR2,0.04964195462352107,RF_rank_only,30,30,2026,3
DEM_elevation,0.04902532558279875,RF_rank_only,30,30,2026,4
S2_dry_NBR2,0.038725568892255174,RF_rank_only,30,30,2026,5
S1_VHasc_p50,0.03784545847086854,RF_rank_only,30,30,2026,6
S1_VVasc_p50,0.03578253462304936,RF_rank_only,30,30,2026,7
S2_dry_B11,0.03494261281617183,RF_rank_only,30,30,2026,8
S2_wet_GNDVI,0.03336744783151853,RF_rank_only,30,30,2026,9
S2_dry_B12,0.032202532314811426,RF_rank_only,30,30,2026,10
S2_dry_B8,0.03201971668990192,RF_rank_only,30,30,2026,11
S2_wet_NDWI,0.032007173949130885,RF_rank_only,30,30,2026,12
L89_dry_NBR2,0.03183890154253162,RF_rank_only,30,30,2026,13
S2_dry_B6,0.0316201351906384,RF_rank_only,30,30,2026,14
L89_dry_BSI,0.03130658936091972,RF_rank_only,30,30,2026,15
S2_wet_NBR,0.030743337772002596,RF_rank_only,30,30,2026,16
L89_dry_NBR,0.030429503543861532,RF_rank_only,30,30,2026,17
L89_dry_Green,0.03042546042418352,RF_rank_only,30,30,2026,18
S2_dry_B2,0.030331034704352305,RF_rank_only,30,30,2026,19
L89_dry_Red,0.030311639083603993,RF_rank_only,30,30,2026,20
S2_dry_B7,0.030218533069945337,RF_rank_only,30,30,2026,21
S2_dry_NDWI,0.02903375458825161,RF_rank_only,30,30,2026,22
L89_dry_SWIR2,0.02895474628067559,RF_rank_only,30,30,2026,23
S2_dry_B3,0.02838673614372722,RF_rank_only,30,30,2026,24
S2_dry_NDI,0.02788286869162163,RF_rank_only,30,30,2026,25
L89_dry_Blue,0.027687066281996006,RF_rank_only,30,30,2026,26
L89_dry_SWIR1,0.027353341276081643,RF_rank_only,30,30,2026,27
L89_dry_NDMI,0.026860137841759817,RF_rank_only,30,30,2026,28
L89_dry_SWIR2_p75,0.025137033749820122,RF_rank_only,30,30,2026,29
S2_dry_MTCI,0.021113922209659054,RF_rank_only,30,30,2026,30
S2_dry_CVI,0.055762524573127095,RF_rank_only,30,30,2027,1
DEM_elevation,0.050463662404793795,RF_rank_only,30,30,2027,2
S2_wet_NBR2,0.047992763660934135,RF_rank_only,30,30,2027,3
S2_dry_MNDWI,0.047589897601563354,RF_rank_only,30,30,2027,4
S1_VHasc_p50,0.03842377788566182,RF_rank_only,30,30,2027,5
S2_dry_NBR2,0.037665862696099874,RF_rank_only,30,30,2027,6
S1_VVasc_p50,0.03573745565675288,RF_rank_only,30,30,2027,7
S2_dry_B11,0.035118992549989986,RF_rank_only,30,30,2027,8
S2_wet_GNDVI,0.03341081628751914,RF_rank_only,30,30,2027,9
L89_dry_NBR2,0.033350314537947505,RF_rank_only,30,30,2027,10
S2_wet_NDWI,0.03326544065540092,RF_rank_only,30,30,2027,11
S2_dry_B6,0.032793434496006406,RF_rank_only,30,30,2027,12
