Strategy,Target feature count,Selected predictors,Overall accuracy,Kappa,Macro F1,Coffee-subclass macro F1
RF_Pearson,20,20,0.922 ± 0.001,0.913 ± 0.001,0.921 ± 0.001,0.872 ± 0.003
RF_Pearson,25,25,0.928 ± 0.003,0.920 ± 0.003,0.928 ± 0.003,0.883 ± 0.004
RF_Pearson,30,30,0.932 ± 0.002,0.924 ± 0.002,0.932 ± 0.002,0.889 ± 0.003
RF_Pearson,35,35,0.935 ± 0.001,0.928 ± 0.001,0.935 ± 0.001,0.889 ± 0.001
RF_Pearson,40,40,0.936 ± 0.001,0.929 ± 0.001,0.936 ± 0.001,0.890 ± 0.004
