strategy,feature_count_target,n_selected,n_runs,OA_mean,OA_sd,Kappa_mean,Kappa_sd,MacroF1_mean,MacroF1_sd,CoffeeSubclassMacroF1_mean,CoffeeSubclassMacroF1_sd
RF_Pearson,20,20,5,0.9215555555555556,0.0012668615834435068,0.9128395061728394,0.0014076239816039316,0.9213748835465145,0.0012782057601999912,0.8715816380129195,0.0029057541109516432
RF_Pearson,25,25,5,0.9280000000000002,0.002766644355108646,0.9199999999999999,0.003074049283453994,0.9278685829548371,0.0027885613103174793,0.8826059084929497,0.003657333190573118
RF_Pearson,30,30,5,0.9317777777777778,0.0020184335693982976,0.9241975308641976,0.002242703965998151,0.931746307555042,0.0020596308493547903,0.8894308169631342,0.0029861880765152267
RF_Pearson,35,35,5,0.9353333333333333,0.0009296222517045526,0.9281481481481482,0.0010329136130050169,0.9352856291514537,0.0009275819816358873,0.8894209229907138,0.0008671802203286578
RF_Pearson,40,40,5,0.9362222222222222,0.0012668615834435233,0.9291358024691359,0.0014076239816038902,0.9361565090589018,0.001281963516508355,0.8899797509655922,0.003789520215196017
RF_VIF10,20,15,5,0.9248888888888889,0.001266861583443463,0.9165432098765433,0.0014076239816038472,0.9248416648293333,0.0011793111536375599,0.8657856284703552,0.003932018107875663
RF_VIF10,25,15,5,0.9248888888888889,0.001266861583443463,0.9165432098765433,0.0014076239816038472,0.9248416648293333,0.0011793111536375599,0.8657856284703552,0.003932018107875663
RF_VIF10,30,15,5,0.9248888888888889,0.001266861583443463,0.9165432098765433,0.0014076239816038472,0.9248416648293333,0.0011793111536375599,0.8657856284703552,0.003932018107875663
RF_VIF10,35,15,5,0.9248888888888889,0.001266861583443463,0.9165432098765433,0.0014076239816038472,0.9248416648293333,0.0011793111536375599,0.8657856284703552,0.003932018107875663
RF_VIF10,40,15,5,0.9248888888888889,0.001266861583443463,0.9165432098765433,0.0014076239816038472,0.9248416648293333,0.0011793111536375599,0.8657856284703552,0.003932018107875663
RF_rank_only,20,20,5,0.9226666666666666,0.0006085806194501631,0.914074074074074,0.0006762006882779796,0.9226906214315923,0.0005802972232787868,0.8637710360518449,0.001153828445627372
RF_rank_only,25,25,5,0.9275555555555556,0.0009296222517045484,0.9195061728395061,0.0010329136130050169,0.927516618472751,0.0008617033295181979,0.8753953835355015,0.0014926431549918
RF_rank_only,30,30,5,0.9248888888888889,0.001266861583443463,0.9165432098765433,0.0014076239816038472,0.9246599105535172,0.0012699332711501342,0.8805396297536221,0.0020451119298027795
RF_rank_only,35,35,5,0.9224444444444444,0.0018257418583505624,0.9138271604938272,0.002028602064833975,0.9222031102192514,0.0018195101679355475,0.8756377976152828,0.0023709732934924497
RF_rank_only,40,40,5,0.9262222222222223,0.0016850834320114216,0.9180246913580247,0.0018723149244571622,0.9260825096572631,0.0017293220639909611,0.8858313744842781,0.00304667753377295
VIF10_only,34,34,5,0.9304444444444444,0.0009938079899998507,0.922716049382716,0.001104231099999875,0.9303065166216061,0.0009800078365350988,0.8860249156435882,0.00345604793135547
