feature,mean_abs_shap,mean_signed_shap,rank,class_id,class_name,sensor
S2_dry_MNDWI,0.02831765888732489,-0.00789817479645342,1,4,Rubber,Sentinel-2
S2_wet_NBR2,0.027792848729743018,-0.00033292340873951673,2,4,Rubber,Sentinel-2
L89_wet_NBR2,0.017681308757456892,-0.000883668109658363,3,4,Rubber,Landsat 8/9
S2_dry_CVI,0.013608472772886635,-0.0015373583187221324,4,4,Rubber,Sentinel-2
S1_VHasc_p50,0.010709470380364511,-0.0017568099265355252,5,4,Rubber,Sentinel-1
L89_dry_SWIR1,0.010631440935519898,-0.00018995412206962645,6,4,Rubber,Landsat 8/9
S2_dry_NBR2,0.010103670428538512,0.0014768740650306133,7,4,Rubber,Sentinel-2
S2_wet_B12,0.00971844966774089,-0.0002575760337942118,8,4,Rubber,Sentinel-2
DEM_elevation,0.009223573357703964,-0.0009913597149326463,9,4,Rubber,DEM
L89_dry_NIR,0.008017070645279924,0.0001638854253468737,10,4,Rubber,Landsat 8/9
L89_dry_BSI,0.007386273259713696,0.0026994139793449588,11,4,Rubber,Landsat 8/9
L89_dry_MSI,0.006417150310329356,0.001461113467468189,12,4,Rubber,Landsat 8/9
L89_wet_NIR,0.005974437436920898,-0.0009269971952010456,13,4,Rubber,Landsat 8/9
S2_wet_NDMI,0.005453242167482022,-0.0003018430312747882,14,4,Rubber,Sentinel-2
L89_dry_Green,0.005061989693788488,0.00047529129997656065,15,4,Rubber,Landsat 8/9
S2_wet_B8,0.004739243700752477,-0.0010322141626182997,16,4,Rubber,Sentinel-2
S2_dry_NDMI,0.004452074472101482,0.0004281469072433991,17,4,Rubber,Sentinel-2
S2_dry_B2,0.004446465889330978,0.0011887578444544457,18,4,Rubber,Sentinel-2
L89_wet_NDMI,0.00410100238308319,-0.00041933302307719795,19,4,Rubber,Landsat 8/9
L89_wet_SWIR2,0.003954809184167782,0.00027740762856665675,20,4,Rubber,Landsat 8/9
S2_wet_CVI,0.0038266182400345282,-0.0009602166597496446,21,4,Rubber,Sentinel-2
S2_dry_B5,0.003683024445464281,0.00031842647952406484,22,4,Rubber,Sentinel-2
L89_wet_MSI,0.0036738241828400786,-0.0009900847959881723,23,4,Rubber,Landsat 8/9
S2_dry_NDI,0.0028102056002343224,0.00045828058657120256,24,4,Rubber,Sentinel-2
L89_wet_Green,0.0026142349494127433,-0.0003955541649321103,25,4,Rubber,Landsat 8/9
