block_id,n_samples,n_classes,lon_mean,lat_mean,x_mean,y_mean
18_142,960,8,108.10359675555713,12.900344597636625,185663.86919400602,1427890.2624787118
18_140,309,5,108.12316711456023,12.678276971195585,187515.89557956406,1403280.8757113062
18_143,180,5,108.08102349608482,12.934069723956693,183254.77539364775,1431651.9411256087
17_141,104,1,107.97493522507736,12.780604496812455,171533.5012435736,1414793.370376818
13_145,75,2,107.61576175592667,13.168216301452112,133064.77094263778,1458209.1697728885
18_141,72,3,108.07929997839943,12.7641780916358,182854.10821798054,1412844.4423752895
20_140,63,4,108.2805922927716,12.699622196582123,204652.25451043926,1405460.2675366604
20_142,61,1,108.2529346074336,12.850754311175379,201823.82585962935,1422222.0165791577
13_146,60,1,107.64356341621645,13.214948459162578,136151.51160543173,1463344.6543732996
19_138,56,2,108.1792667846519,12.513791777563554,193418.50081750797,1385005.0353415303
20_141,51,3,108.27044216882416,12.79830754056467,203664.040616762,1416396.0047114883
17_142,43,2,108.04646582938109,12.908697667611143,179469.3829022499,1428885.7852066278
17_139,42,1,108.00786662430747,12.635758396418968,174927.7894951819,1398714.2699792113
19_142,42,1,108.15074153140077,12.891750447396143,190773.61618132365,1426881.3421146397
14_147,38,1,107.72988127107412,13.339390972277448,145698.7955819664,1477002.9604499135
17_140,37,1,108.02939428185756,12.664175739113059,177304.2296064287,1401833.867573626
16_139,35,1,107.9404852781532,12.61658278725648,167576.23420326598,1396675.6862916509
21_140,35,1,108.3697182872112,12.677716992263461,214313.68332524458,1402936.0469073819
19_141,34,2,108.19544164961276,12.767932154143805,195479.3153826013,1413120.5839412913
21_138,31,2,108.40381295378407,12.541401415026932,217869.92636501716,1387810.5952030863
16_141,29,2,107.94625281629314,12.77707437985377,168411.6999197196,1414439.1618405853
18_139,29,1,108.12738415396073,12.561766792083786,187832.89936425016,1390377.0439949413
17_136,27,1,108.0340228086463,12.336492264300023,177400.69672855435,1365547.9806421879
19_139,25,4,108.22110767980571,12.632391596287926,198107.9125528805,1398085.890762506
15_147,23,2,107.78763821586782,13.334375310086399,151955.51310262817,1476365.5883507056
21_141,23,2,108.41020585923029,12.762445308717886,218807.5612689857,1412270.3452423585
14_146,21,1,107.69934665651436,13.243175664235528,142246.07158597076,1466390.4669807772
12_144,20,2,107.54416333283648,13.043048343585607,125103.42240259863,1444450.2067043635
19_137,17,1,108.17290978860402,12.448972101998285,192650.38208478782,1377836.4766199344
22_140,16,3,108.43390868914551,12.73308577769427,221350.50520187512,1408995.0039395667
15_142,16,2,107.8111628473707,12.87877567336688,153869.30033512643,1425878.8186102298
22_144,16,1,108.49396668035942,13.047535428429784,228215.7141479948,1443735.020691154
