table,feature,sensor_group,missing_rate,zero_rate
validation,L89_wet_Blue,L89,0.0,0.03666666666666667
validation,L89_wet_Green,L89,0.0,0.03666666666666667
validation,L89_wet_MSI,L89,0.0,0.03666666666666667
validation,L89_wet_NBR,L89,0.0,0.03666666666666667
validation,L89_wet_NBR2,L89,0.0,0.03666666666666667
validation,L89_wet_NDMI,L89,0.0,0.03666666666666667
validation,L89_wet_NDVI,L89,0.0,0.03666666666666667
validation,L89_wet_NIR,L89,0.0,0.03666666666666667
validation,L89_wet_Red,L89,0.0,0.03666666666666667
validation,L89_wet_SWIR1,L89,0.0,0.03666666666666667
validation,L89_wet_SWIR2,L89,0.0,0.03666666666666667
validation,L89_wet_SWIR2_p75,L89,0.0,0.03666666666666667
validation,S1_VH_glcm_asm_5x5,S1,0.0,0.0
validation,S1_VH_glcm_contrast_5x5,S1,0.0,0.0022222222222222222
validation,S1_VH_glcm_ent_5x5,S1,0.0,0.0022222222222222222
validation,S1_VHasc_p50,S1,0.0,0.0
validation,S1_VHdesc_p25,S1,0.0,0.0
validation,S1_VHdesc_p50,S1,0.0,0.0
validation,S1_VHdesc_p75,S1,0.0,0.0
validation,S1_VHdesc_std,S1,0.0,0.0
validation,S1_VVasc_p50,S1,0.0,0.0
validation,S1_VVdesc_p25,S1,0.0,0.0
validation,S1_VVdesc_p50,S1,0.0,0.0
validation,S1_VVdesc_p75,S1,0.0,0.0
validation,S1_VVdesc_std,S1,0.0,0.0
validation,S1_VVminusVH_asc_p50,S1,0.0,0.0
validation,S1_VVminusVH_desc_p50,S1,0.0,0.0
validation,S2_dry_B11,S2,0.0,0.0
validation,S2_dry_B12,S2,0.0,0.0
validation,S2_dry_B2,S2,0.0,0.0
validation,S2_dry_B3,S2,0.0,0.0
validation,S2_dry_B4,S2,0.0,0.0
validation,S2_dry_B5,S2,0.0,0.0
validation,S2_dry_B6,S2,0.0,0.0
validation,S2_dry_B7,S2,0.0,0.0
validation,S2_dry_B8,S2,0.0,0.0
validation,S2_dry_CI_RE,S2,0.0,0.0
validation,S2_dry_CVI,S2,0.0,0.0
validation,S2_dry_GNDVI,S2,0.0,0.0
validation,S2_dry_MNDWI,S2,0.0,0.0
validation,S2_dry_MSR,S2,0.0,0.0
validation,S2_dry_MTCI,S2,0.0,0.0
validation,S2_dry_NBR,S2,0.0,0.0011111111111111111
validation,S2_dry_NBR2,S2,0.0,0.0
validation,S2_dry_NDI,S2,0.0,0.0022222222222222222
