block_id,n_samples,n_classes,lon_mean,lat_mean,x_mean,y_mean
12_95,1082,7,108.10175391457553,12.908624585610072,185474.1410236417,1428809.2778501227
12_93,309,5,108.12316711456023,12.678276971195585,187515.89557956406,1403280.8757113062
12_94,185,5,108.09909626426779,12.82088368418482,185075.8255298997,1419098.4376778277
11_94,131,2,107.97056400866259,12.782345899189119,171060.75216595287,1414991.7617684775
13_94,128,3,108.25172192782028,12.814323657157752,201649.02190791524,1418190.6304236746
11_93,107,1,107.99771638120863,12.64176725413999,173831.47317163367,1399392.396907899
13_93,101,6,108.2606430157472,12.683730190256405,202465.42527978338,1403723.8414220163
9_97,95,2,107.65778437756076,13.211325726980814,137689.19738117457,1462922.807469434
12_92,83,2,108.15267025503114,12.535344193421684,190551.49553283426,1387422.1449450974
8_97,66,2,107.60463097623621,13.172923909087702,131863.71894319367,1458746.864365457
14_93,62,3,108.38735494844163,12.68556652917192,216238.9481504916,1403785.7241262952
11_95,43,2,108.04646582938109,12.908697667611143,179469.3829022499,1428885.7852066278
9_98,40,1,107.72719507197584,13.338897253469321,145406.7383691268,1476952.1411692915
14_94,32,3,108.41558586458473,12.757562061951266,219386.68461279033,1411724.007249672
16_95,32,2,108.67077477892099,12.92241695276351,247274.3987806539,1429705.6842571844
14_92,31,2,108.40381295378407,12.541401415026932,217869.92636501716,1387810.5952030863
10_98,28,2,107.79320777062937,13.341319817294458,152569.30927035594,1477126.9153853848
12_90,23,2,108.11267993141128,12.275206910048711,185889.76974267128,1358669.7524976372
11_92,21,2,107.95018622768332,12.554672608951694,168551.72458313362,1389808.3675154722
8_96,20,2,107.54416333283648,13.043048343585607,125103.42240259863,1444450.2067043635
10_94,19,2,107.87484099007993,12.826460037007969,160717.08640190397,1420000.5608344406
16_93,19,2,108.66172262719202,12.68032778015762,246049.1064396141,1402922.8899978744
15_95,19,1,108.52537255098821,12.968545147104601,231538.7163335158,1434959.0967620718
9_95,18,2,107.69478235933268,12.945317130377918,141319.2349153933,1433408.2613684132
12_96,18,1,108.12758567258099,13.056224133483406,188463.854288272,1445118.9822340421
13_92,18,1,108.22440409764721,12.517299841337769,198331.85292788196,1385341.3931113805
12_91,17,1,108.17290978860402,12.448972101998285,192650.38208478782,1377836.4766199344
16_91,16,1,108.65068901061512,12.416115229692698,244589.76847119603,1373693.9499724905
8_95,15,2,107.55923856049615,12.941618067663532,126589.01385009807,1433192.9820730118
11_90,15,1,108.04070560894141,12.31778601299101,178105.2309822181,1363468.820110113
11_91,15,1,108.01095939549992,12.369726602718801,174931.31280658735,1369255.746327487
10_95,14,2,107.80203051002697,12.899589317673042,152905.59869021448,1428196.0249481467
16_92,14,1,108.62929547171038,12.564472800932254,242409.67528132934,1390133.0433826614
13_95,13,2,108.26099508965825,12.942999169828552,202808.44948590852,1432424.20608334
13_90,13,1,108.2651964411409,12.257100899815445,202473.17146892534,1356492.1851822366
15_96,13,1,108.50127369780752,13.053160264131886,229014.84635617086,1444349.7299063338
12_98,11,1,108.0911381178589,13.308757346549157,184831.73746435615,1473123.3853516532
14_90,10,1,108.3957886800639,12.290561071113627,216725.83469760726,1360054.938360768
15_91,10,1,108.55621880665481,12.37272997015204,234270.11819794922,1368985.3936796996
16_90,10,1,108.65706368045005,12.318049518807685,245187.95166475052,1362835.3077953446
18_93,10,1,108.95199855453218,12.727375861169586,277628.9395706891,1407863.5304126323
17_94,8,1,108.80142070081986,12.847750109241602,261385.49815044942,1421317.6179966922
9_94,8,1,107.67357463266674,12.85013064474452,138878.56724601824,1422895.7060794877
15_94,7,1,108.51193699637791,12.788936124282747,229887.75123773856,1415094.0195512022
11_97,6,1,107.99591261449093,13.238157931719947,174411.5596960067,1465428.8867807903
15_92,5,2,108.56811250101654,12.577860265280734,235772.0020469292,1391675.3852018649
10_97,5,1,107.80454450951495,13.27470139747793,153703.8185344724,1469733.348579761
17_93,5,1,108.79042756753044,12.654073333985433,260009.03079692126,1399895.8991598035
11_96,4,1,107.94518025882029,13.041539173908287,168644.37526008912,1443724.1074200112
15_90,4,1,108.5555405786153,12.318148333488939,234140.82504848883,1362945.133890415
16_94,4,1,108.69410571119073,12.816106953358492,249700.85512148702,1417917.7008831548
14_91,3,1,108.3797477634738,12.390747180367198,215088.02265075888,1371161.0470778313
14_95,3,1,108.34222812844041,12.96183615032478,211649.9797147372,1434416.2169007056
14_96,3,1,108.46230293808439,13.023161140387339,224752.8079125651,1441071.280758708
12_97,2,1,108.06005232577706,13.273686301206872,181415.11178752434,1469279.866148129
13_91,2,1,108.28561929361948,12.393157659712918,204849.00275775808,1371530.181533881
18_94,2,1,108.95230398172879,12.75221427877549,277683.7882718856,1410611.572028323
9_96,2,1,107.67036315552602,13.018924086630577,138773.07179280865,1441594.8933971352
10_96,1,1,107.89103430506998,13.063435608958699,162795.76561230642,1446220.2010731285
