block_size_km,fold,rank_selected,feature,source_group,season_or_orbit,feature_family
20,5,9,S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
20,5,10,S2_dry_NBR2,Sentinel-2 optical,dry,spectral_index
20,5,11,L89_dry_Red,Landsat 8/9 optical,dry,spectral_band_or_percentile
20,5,12,S2_wet_B12,Sentinel-2 optical,wet,spectral_band_or_percentile
20,5,13,S2_wet_CVI,Sentinel-2 optical,wet,spectral_index
20,5,14,S2_dry_NDI,Sentinel-2 optical,dry,spectral_index
20,5,15,S2_dry_NLI,Sentinel-2 optical,dry,spectral_index
20,5,16,L89_dry_BSI,Landsat 8/9 optical,dry,spectral_index
20,5,17,S2_wet_GNDVI,Sentinel-2 optical,wet,spectral_index
20,5,18,S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric
20,5,19,L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index
20,5,20,S2_wet_B11,Sentinel-2 optical,wet,spectral_band_or_percentile
20,5,21,DEM_slope,DEM/topography,static_or_annual,topographic
20,5,22,L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index
20,5,23,S2_wet_B7,Sentinel-2 optical,wet,spectral_band_or_percentile
20,5,24,S2_dry_NDMI,Sentinel-2 optical,dry,spectral_index
20,5,25,S2_dry_PSRI,Sentinel-2 optical,dry,spectral_index
