table,feature,sensor_group,missing_rate,zero_rate,max_missing_or_zero_rate
validation,DEM_aspect,DEM,0.0,0.10666666666666667,0.10666666666666667
train,DEM_aspect,DEM,0.0,0.08523809523809524,0.08523809523809524
validation,DEM_slope,DEM,0.0,0.05,0.05
train,L89_wet_NDVI,L89,0.0,0.0380952380952381,0.0380952380952381
train,L89_wet_NIR,L89,0.0,0.0380952380952381,0.0380952380952381
train,L89_wet_NBR2,L89,0.0,0.0380952380952381,0.0380952380952381
train,L89_wet_SWIR2_p75,L89,0.0,0.0380952380952381,0.0380952380952381
train,L89_wet_SWIR2,L89,0.0,0.0380952380952381,0.0380952380952381
train,L89_wet_NDMI,L89,0.0,0.0380952380952381,0.0380952380952381
train,L89_wet_Red,L89,0.0,0.0380952380952381,0.0380952380952381
train,L89_wet_NBR,L89,0.0,0.0380952380952381,0.0380952380952381
train,L89_wet_MSI,L89,0.0,0.0380952380952381,0.0380952380952381
train,L89_wet_Green,L89,0.0,0.0380952380952381,0.0380952380952381
train,L89_wet_Blue,L89,0.0,0.0380952380952381,0.0380952380952381
train,L89_wet_SWIR1,L89,0.0,0.0380952380952381,0.0380952380952381
train,L89_wet_BSI,L89,0.0,0.0380952380952381,0.0380952380952381
validation,L89_wet_Red,L89,0.0,0.03666666666666667,0.03666666666666667
validation,L89_wet_BSI,L89,0.0,0.03666666666666667,0.03666666666666667
validation,L89_wet_MSI,L89,0.0,0.03666666666666667,0.03666666666666667
validation,L89_wet_NDMI,L89,0.0,0.03666666666666667,0.03666666666666667
validation,L89_wet_NDVI,L89,0.0,0.03666666666666667,0.03666666666666667
validation,L89_wet_SWIR2_p75,L89,0.0,0.03666666666666667,0.03666666666666667
validation,L89_wet_SWIR2,L89,0.0,0.03666666666666667,0.03666666666666667
validation,L89_wet_SWIR1,L89,0.0,0.03666666666666667,0.03666666666666667
validation,L89_wet_NBR2,L89,0.0,0.03666666666666667,0.03666666666666667
validation,L89_wet_NIR,L89,0.0,0.03666666666666667,0.03666666666666667
validation,L89_wet_Blue,L89,0.0,0.03666666666666667,0.03666666666666667
validation,L89_wet_Green,L89,0.0,0.03666666666666667,0.03666666666666667
validation,L89_wet_NBR,L89,0.0,0.03666666666666667,0.03666666666666667
train,DEM_slope,DEM,0.0,0.03333333333333333,0.03333333333333333
