n_estimators,max_features,max_samples,OA,Kappa,MacroF1,CoffeeSubclassMacroF1,is_manuscript_config
500,2,0.5,0.9255555555555556,0.917283950617284,0.9253561214550494,0.884684572646269,False
500,2,0.65,0.9344444444444444,0.9271604938271605,0.934306784916658,0.9049151284445403,False
500,2,0.8,0.93,0.9222222222222223,0.9298838520455106,0.8922248774838719,False
500,2,1.0,0.9322222222222222,0.9246913580246914,0.9322573845162718,0.8998339183093194,False
500,3,0.5,0.9333333333333333,0.9259259259259259,0.9329931772336767,0.8969580697197342,False
500,3,0.65,0.9355555555555556,0.928395061728395,0.9353165755270025,0.9011048330886388,False
500,3,0.8,0.9366666666666666,0.9296296296296296,0.9365593636876868,0.904919032528559,False
500,3,1.0,0.93,0.9222222222222223,0.929973617547099,0.8904194070522671,False
500,5,0.5,0.9344444444444444,0.9271604938271605,0.9341402618137057,0.8985464155124835,False
500,5,0.65,0.9377777777777778,0.9308641975308642,0.9375407949220943,0.9025421871575717,False
500,5,0.8,0.9322222222222222,0.9246913580246914,0.9319429731128397,0.8950967252578431,False
500,5,1.0,0.9366666666666666,0.9296296296296296,0.9365177675350465,0.9141449417909172,False
1000,2,0.5,0.9255555555555556,0.917283950617284,0.9253542675590765,0.8861560503442449,False
1000,2,0.65,0.9322222222222222,0.9246913580246914,0.9320606644209208,0.8956108734806438,False
1000,2,0.8,0.9288888888888889,0.9209876543209876,0.9288474075737236,0.8906675957847462,False
1000,2,1.0,0.9355555555555556,0.928395061728395,0.9355639888935174,0.9054195910088062,False
1000,3,0.5,0.9344444444444444,0.9271604938271605,0.9340126850319995,0.8966491963757605,False
1000,3,0.65,0.9311111111111111,0.9234567901234568,0.9307323178679627,0.8911296151733309,False
1000,3,0.8,0.9377777777777778,0.9308641975308642,0.9376115747323295,0.9065266768645993,False
1000,3,1.0,0.9333333333333333,0.9259259259259259,0.933269660040881,0.89781588706538,False
1000,5,0.5,0.9366666666666666,0.9296296296296297,0.9364483501070477,0.901034005779476,False
1000,5,0.65,0.9377777777777778,0.9308641975308641,0.9375169358031489,0.9061358122131603,False
1000,5,0.8,0.9333333333333333,0.9259259259259259,0.9330490276017083,0.8967600652445361,False
1000,5,1.0,0.9366666666666666,0.9296296296296296,0.9365652771980034,0.9105448807203192,False
1500,2,0.5,0.9266666666666666,0.9185185185185185,0.9265152982800018,0.8919877612663152,False
1500,2,0.65,0.9311111111111111,0.9234567901234568,0.9309501217317168,0.8956108734806438,False
1500,2,0.8,0.9288888888888889,0.9209876543209876,0.9288601010793742,0.892774676304088,False
1500,2,1.0,0.9333333333333333,0.9259259259259259,0.9334293053607148,0.9002255549248647,False
1500,3,0.5,0.9366666666666666,0.9296296296296296,0.9363651262525661,0.9062536416956136,False
1500,3,0.65,0.9333333333333333,0.9259259259259259,0.9329176211405704,0.8947019198073759,False
1500,3,0.8,0.9377777777777778,0.9308641975308642,0.937620895923518,0.9084967320261438,False
1500,3,1.0,0.9333333333333333,0.9259259259259259,0.933269660040881,0.89781588706538,False
1500,5,0.5,0.9333333333333333,0.9259259259259259,0.9331464588320095,0.8990661231098388,False
1500,5,0.65,0.9377777777777778,0.9308641975308642,0.9375808109604484,0.9064199131519256,False
1500,5,0.8,0.9344444444444444,0.9271604938271605,0.9341841083422526,0.9006081040538731,False
1500,5,1.0,0.9377777777777778,0.9308641975308642,0.937674965493272,0.9105448807203192,False
2000,2,0.5,0.9277777777777778,0.9197530864197531,0.9275933769189288,0.8936197482104197,False
2000,2,0.65,0.9311111111111111,0.9234567901234568,0.9309501217317168,0.8956108734806438,False
2000,2,0.8,0.9311111111111111,0.9234567901234568,0.9310713367042016,0.8963640500691125,False
2000,2,1.0,0.9322222222222222,0.9246913580246914,0.9323622054525844,0.8986516178064972,False
2000,3,0.5,0.9344444444444444,0.9271604938271605,0.9340600366655748,0.8985700097389762,False
2000,3,0.65,0.9333333333333333,0.9259259259259259,0.9329581049590512,0.8985700097389762,True
2000,3,0.8,0.9366666666666666,0.9296296296296296,0.9364778073167475,0.9046864366702424,False
2000,3,1.0,0.9344444444444444,0.9271604938271605,0.9344385040920373,0.9054195910088062,False
2000,5,0.5,0.9344444444444444,0.9271604938271605,0.9342268821313093,0.8990661231098388,False
2000,5,0.65,0.9377777777777778,0.9308641975308642,0.9375447831994173,0.9045763580221271,False
2000,5,0.8,0.9344444444444444,0.9271604938271605,0.9341787283601655,0.9006081040538731,False
2000,5,1.0,0.9377777777777778,0.9308641975308642,0.9376452955191829,0.9141449417909172,False
3000,2,0.5,0.9277777777777778,0.9197530864197531,0.9275386663365419,0.8897943923529184,False
3000,2,0.65,0.9311111111111111,0.9234567901234568,0.9309501217317168,0.8956108734806438,False
3000,2,0.8,0.9322222222222222,0.9246913580246914,0.9322077195520568,0.8981449579273683,False
3000,2,1.0,0.9333333333333333,0.9259259259259259,0.933423300436677,0.9002255549248647,False
3000,3,0.5,0.9344444444444444,0.9271604938271605,0.9340600366655748,0.8985700097389762,False
3000,3,0.65,0.9333333333333333,0.9259259259259259,0.9330442545244987,0.8970657518112221,False
