feature,mean_abs_shap,mean_signed_shap,rank,class_id,class_name,sensor
S2_dry_CVI,0.022868595790379576,-0.009615426380071419,1,5,Partially vegetative,Sentinel-2
S2_dry_B2,0.01866002638566832,0.005345457795057078,2,5,Partially vegetative,Sentinel-2
S2_wet_NBR2,0.014515286000147572,0.00212713672580811,3,5,Partially vegetative,Sentinel-2
S1_VHasc_p50,0.014331221785460185,-0.0013465845261325326,4,5,Partially vegetative,Sentinel-1
S2_dry_NBR2,0.014056778838876299,-0.0014746631503698517,5,5,Partially vegetative,Sentinel-2
S2_dry_MNDWI,0.013607109957230997,0.000698652288067282,6,5,Partially vegetative,Sentinel-2
DEM_elevation,0.012884048763066725,-0.0006534212026574888,7,5,Partially vegetative,DEM
S2_dry_B5,0.012250428988405941,0.0035537609907819925,8,5,Partially vegetative,Sentinel-2
L89_dry_NIR,0.011638833478720065,-0.0007676404645332483,9,5,Partially vegetative,Landsat 8/9
L89_dry_BSI,0.008866050647886276,-0.0018463169381553862,10,5,Partially vegetative,Landsat 8/9
L89_dry_Green,0.008316491300534776,-3.47021773121006e-05,11,5,Partially vegetative,Landsat 8/9
S2_dry_NDI,0.008020188359298859,-0.001640746462840808,12,5,Partially vegetative,Sentinel-2
L89_dry_MSI,0.007951075692168852,-0.0016088544134389012,13,5,Partially vegetative,Landsat 8/9
L89_wet_NBR2,0.007689199819250248,0.001335990374349244,14,5,Partially vegetative,Landsat 8/9
S2_wet_B12,0.006598046060898302,-0.000914906255924932,15,5,Partially vegetative,Sentinel-2
S2_wet_CVI,0.006469331596038105,0.00015992121571363572,16,5,Partially vegetative,Sentinel-2
L89_dry_SWIR1,0.00626042236658119,0.001520677029665289,17,5,Partially vegetative,Landsat 8/9
L89_wet_NIR,0.006043356585839944,-0.0010521666006616326,18,5,Partially vegetative,Landsat 8/9
L89_wet_SWIR2,0.005769933987397788,-0.000806378838334159,19,5,Partially vegetative,Landsat 8/9
L89_wet_Green,0.004808601759584602,0.000935850723698074,20,5,Partially vegetative,Landsat 8/9
S2_dry_NDMI,0.004682586735490271,-0.0005414050267392906,21,5,Partially vegetative,Sentinel-2
S2_wet_B8,0.004300142128021061,0.00017878377337527383,22,5,Partially vegetative,Sentinel-2
S2_wet_NDMI,0.003643212720736112,0.00015698088000221975,23,5,Partially vegetative,Sentinel-2
L89_wet_NDMI,0.0026271179340995226,-0.00025902952600032216,24,5,Partially vegetative,Landsat 8/9
L89_wet_MSI,0.002172720595505397,-2.045243407875919e-05,25,5,Partially vegetative,Landsat 8/9
