true_class,block_size_km,fold,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10
true_8,15,5,0,0,0,0,0,0,3,57,0,0
true_9,15,5,1,0,0,0,0,4,0,2,52,1
true_10,15,5,1,0,0,0,0,0,0,0,0,99
true_1,20,1,98,49,25,0,13,1,0,4,0,0
true_2,20,1,99,67,0,0,14,0,0,0,0,0
true_3,20,1,0,0,77,0,6,0,0,1,0,150
true_4,20,1,46,21,2,81,2,0,0,65,0,0
true_5,20,1,54,22,52,0,82,6,0,2,0,0
true_6,20,1,0,0,0,0,0,70,0,0,0,0
true_7,20,1,2,20,1,8,7,11,7,8,3,23
true_8,20,1,0,0,0,2,0,0,3,54,0,0
true_9,20,1,0,0,0,0,0,0,1,0,54,0
true_10,20,1,0,0,0,0,0,0,0,1,0,70
true_1,20,2,2,17,0,0,1,0,0,0,0,0
true_2,20,2,0,3,0,0,0,0,0,0,0,0
true_3,20,2,0,0,0,0,0,0,0,0,0,0
true_4,20,2,0,0,0,53,0,0,0,0,0,0
true_5,20,2,0,0,0,0,0,0,0,0,0,0
true_6,20,2,0,0,0,0,2,110,9,0,1,13
true_7,20,2,0,0,0,0,0,0,24,0,0,7
true_8,20,2,1,0,0,0,3,0,0,55,0,0
true_9,20,2,0,0,0,0,0,0,0,0,53,0
true_10,20,2,0,0,0,0,0,0,0,0,2,39
true_1,20,3,62,4,0,0,23,0,1,0,0,0
true_2,20,3,89,10,0,3,1,0,1,13,0,0
true_3,20,3,25,0,3,0,38,0,0,0,0,0
true_4,20,3,4,0,0,19,0,0,1,2,0,0
true_5,20,3,3,28,0,0,34,0,0,0,0,0
true_6,20,3,0,0,0,0,0,20,0,0,0,0
true_7,20,3,0,0,0,0,0,0,30,0,0,0
true_8,20,3,1,0,0,0,0,1,2,56,0,0
true_9,20,3,0,0,0,0,2,21,0,1,64,1
true_10,20,3,0,0,0,0,0,0,0,0,1,11
true_1,20,4,0,0,0,0,0,0,0,0,0,0
true_2,20,4,0,0,0,0,0,0,0,0,0,0
true_3,20,4,0,0,0,0,0,0,0,0,0,0
true_4,20,4,0,0,0,1,1,0,0,2,0,0
true_5,20,4,0,0,0,0,0,0,0,0,0,0
true_6,20,4,0,0,0,0,0,49,0,0,0,0
true_7,20,4,0,0,0,0,0,0,62,0,0,0
true_8,20,4,3,0,0,1,2,0,1,52,0,1
true_9,20,4,0,0,0,0,0,0,1,0,52,1
true_10,20,4,0,0,0,0,0,0,2,0,0,97
true_1,20,5,0,0,0,0,0,0,0,0,0,0
true_2,20,5,0,0,0,0,0,0,0,0,0,0
true_3,20,5,0,0,0,0,0,0,0,0,0,0
true_4,20,5,0,0,0,0,0,0,0,0,0,0
true_5,20,5,0,0,0,0,4,4,0,9,0,0
true_6,20,5,0,0,0,0,0,26,0,0,0,0
true_7,20,5,0,0,1,0,0,3,81,1,0,1
true_8,20,5,0,0,0,2,0,0,7,53,0,0
true_9,20,5,0,0,0,0,0,2,1,0,46,0
true_10,20,5,0,0,0,0,0,0,0,0,1,76
