feature,mean_abs_shap,mean_signed_shap,rank,class_id,class_name,sensor
S2_dry_NBR2,0.02285040235441183,0.00420277400373982,1,10,Built,Sentinel-2
S2_dry_B2,0.02274160919533598,0.0007511341056258728,2,10,Built,Sentinel-2
S2_wet_NBR2,0.021917158243097607,-0.0014755911401487653,3,10,Built,Sentinel-2
L89_dry_Green,0.01802252472638875,0.0005299346496410854,4,10,Built,Landsat 8/9
S2_wet_B12,0.015590473407813525,-0.0028671199950890455,5,10,Built,Sentinel-2
S2_dry_CVI,0.015537264341236295,0.0017246870738570027,6,10,Built,Sentinel-2
L89_dry_BSI,0.012986359883259834,0.0032341624269739523,7,10,Built,Landsat 8/9
L89_dry_MSI,0.011849914385940187,0.0020656404550591905,8,10,Built,Landsat 8/9
S1_VHasc_p50,0.0117455833455224,-0.0009008189672256796,9,10,Built,Sentinel-1
L89_wet_SWIR2,0.011428044029501856,-0.0014082950642049113,10,10,Built,Landsat 8/9
L89_wet_NBR2,0.00998988100642263,-0.0018784254544470555,11,10,Built,Landsat 8/9
L89_dry_NIR,0.009726404759308164,-0.0011084476791707743,12,10,Built,Landsat 8/9
DEM_elevation,0.008536675609311704,0.0022943957249967227,13,10,Built,DEM
S2_wet_B8,0.006987572830058365,-0.0006445569806311433,14,10,Built,Sentinel-2
L89_dry_SWIR1,0.006939045896083081,0.00018632443110450206,15,10,Built,Landsat 8/9
S2_wet_CVI,0.0064932816135482895,-0.00030046912112963707,16,10,Built,Sentinel-2
S2_dry_MNDWI,0.006322973613262411,0.001185145266800731,17,10,Built,Sentinel-2
L89_wet_NIR,0.0056860519052656785,-0.0006984936563271481,18,10,Built,Landsat 8/9
S2_dry_NDMI,0.00553159919582871,0.0008525326535441564,19,10,Built,Sentinel-2
S2_dry_NDI,0.0053025988949781085,0.0007376257805928511,20,10,Built,Sentinel-2
S2_wet_NDMI,0.004024010874503158,-0.0011344793801303368,21,10,Built,Sentinel-2
L89_wet_NDMI,0.0038699610171942663,-0.0010808796562647755,22,10,Built,Landsat 8/9
L89_wet_MSI,0.003759021677685149,-0.0012394293638068128,23,10,Built,Landsat 8/9
L89_wet_Green,0.002995372565149713,-0.0004698385694907677,24,10,Built,Landsat 8/9
S2_dry_B5,0.0029003407862980214,0.0002774060385485714,25,10,Built,Sentinel-2
