block_size_km,fold,feature,final_rf_importance,source_group,season_or_orbit,feature_family
10,3,S2_wet_B12,0.0327929738622529,Sentinel-2 optical,wet,spectral_band_or_percentile
10,3,L89_dry_NDMI,0.03251632087627646,Landsat 8/9 optical,dry,spectral_index
10,3,S2_dry_B4,0.03104034941439317,Sentinel-2 optical,dry,spectral_band_or_percentile
10,3,L89_dry_MSI,0.030601538043608028,Landsat 8/9 optical,dry,spectral_index
10,3,S2_dry_MTCI,0.026913265963181505,Sentinel-2 optical,dry,spectral_index
10,3,S2_wet_CVI,0.026482912009925,Sentinel-2 optical,wet,spectral_index
10,3,S2_dry_NDMI,0.025045628802545065,Sentinel-2 optical,dry,spectral_index
10,4,S2_dry_CVI,0.06841016665295964,Sentinel-2 optical,dry,spectral_index
10,4,DEM_elevation,0.05930737957279208,DEM/topography,static_or_annual,topographic
10,4,S2_dry_MNDWI,0.05735677946297607,Sentinel-2 optical,dry,spectral_index
10,4,S2_wet_NBR2,0.05298044344560038,Sentinel-2 optical,wet,spectral_index
10,4,S2_dry_B11,0.04508156673149159,Sentinel-2 optical,dry,spectral_band_or_percentile
10,4,S1_VVasc_p50,0.0443890123036109,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,4,S1_VHasc_p50,0.04303222642759534,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,4,S2_dry_B2,0.04155491623226523,Sentinel-2 optical,dry,spectral_band_or_percentile
10,4,L89_dry_Red,0.04014626638421245,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,4,L89_dry_NBR2,0.03925208352478714,Landsat 8/9 optical,dry,spectral_index
10,4,L89_dry_SWIR2,0.038830257684753074,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,4,L89_wet_NBR2,0.037519688259856784,Landsat 8/9 optical,wet,spectral_index
10,4,S2_dry_B6,0.036841478318628156,Sentinel-2 optical,dry,spectral_band_or_percentile
10,4,L89_dry_NDVI,0.0363864615130206,Landsat 8/9 optical,dry,spectral_index
10,4,S2_wet_GNDVI,0.03627021255876424,Sentinel-2 optical,wet,spectral_index
10,4,S2_dry_NDI,0.036033307118642235,Sentinel-2 optical,dry,spectral_index
10,4,S2_dry_GNDVI,0.03551686173034701,Sentinel-2 optical,dry,spectral_index
10,4,S2_wet_B12,0.034620625822089815,Sentinel-2 optical,wet,spectral_band_or_percentile
10,4,L89_dry_MSI,0.034351075301361285,Landsat 8/9 optical,dry,spectral_index
10,4,L89_dry_NDMI,0.03320543670874899,Landsat 8/9 optical,dry,spectral_index
10,4,S2_wet_CVI,0.032225457174768636,Sentinel-2 optical,wet,spectral_index
10,4,S2_dry_SR,0.031403923401620994,Sentinel-2 optical,dry,spectral_index
10,4,S2_wet_NLI,0.02910098269448711,Sentinel-2 optical,wet,spectral_index
10,4,S2_dry_B5,0.029060024433050467,Sentinel-2 optical,dry,spectral_band_or_percentile
10,4,S2_dry_PSRI,0.02712336654156975,Sentinel-2 optical,dry,spectral_index
10,5,S2_dry_CVI,0.06558765625874202,Sentinel-2 optical,dry,spectral_index
10,5,DEM_elevation,0.06253382887263005,DEM/topography,static_or_annual,topographic
10,5,S2_dry_MNDWI,0.05763912368247979,Sentinel-2 optical,dry,spectral_index
10,5,S2_wet_NBR2,0.05057167596764887,Sentinel-2 optical,wet,spectral_index
10,5,S2_dry_NBR2,0.0487837429055687,Sentinel-2 optical,dry,spectral_index
10,5,S2_dry_B11,0.046168241916327346,Sentinel-2 optical,dry,spectral_band_or_percentile
10,5,S1_VHasc_p50,0.043386411425577476,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,5,S2_dry_B3,0.04055467997874518,Sentinel-2 optical,dry,spectral_band_or_percentile
10,5,L89_dry_Green,0.04025915261887553,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,5,S2_dry_NDI,0.039537537942617135,Sentinel-2 optical,dry,spectral_index
10,5,L89_wet_NBR2,0.03953499872974173,Landsat 8/9 optical,wet,spectral_index
10,5,L89_dry_SWIR2,0.03948888614643601,Landsat 8/9 optical,dry,spectral_band_or_percentile
10,5,S2_dry_NLI,0.03878335382780152,Sentinel-2 optical,dry,spectral_index
10,5,S1_VVasc_p50,0.03824079110424115,Sentinel-1 SAR,ascending,sar_backscatter_metric
10,5,S2_wet_GNDVI,0.03745963354144359,Sentinel-2 optical,wet,spectral_index
10,5,L89_dry_MSI,0.03506094944897818,Landsat 8/9 optical,dry,spectral_index
10,5,L89_dry_NDMI,0.034955135221015794,Landsat 8/9 optical,dry,spectral_index
10,5,S2_dry_B7,0.03469228425427094,Sentinel-2 optical,dry,spectral_band_or_percentile
10,5,S2_wet_B12,0.03373107489505344,Sentinel-2 optical,wet,spectral_band_or_percentile
10,5,S2_wet_CVI,0.03178927141620497,Sentinel-2 optical,wet,spectral_index
10,5,S2_wet_NLI,0.029522348830616264,Sentinel-2 optical,wet,spectral_index
10,5,S2_dry_B4,0.02885422400651986,Sentinel-2 optical,dry,spectral_band_or_percentile
10,5,S2_dry_PSRI,0.02836221708872611,Sentinel-2 optical,dry,spectral_index
10,5,S2_dry_MTCI,0.027430122049809883,Sentinel-2 optical,dry,spectral_index
10,5,S2_wet_SR,0.027072657869928574,Sentinel-2 optical,wet,spectral_index
