feature,mean_abs_shap,mean_signed_shap,rank,class_id,class_name,sensor
S2_dry_CVI,0.032546190699057745,0.0039003281399487867,1,6,Rice,Sentinel-2
S2_dry_MNDWI,0.02318456346676204,0.005113773559632778,2,6,Rice,Sentinel-2
L89_dry_BSI,0.021093449637395994,-0.003871930724812032,3,6,Rice,Landsat 8/9
S1_VHasc_p50,0.019189228568916257,-0.0022807266140753165,4,6,Rice,Sentinel-1
L89_dry_MSI,0.018913112576247216,-0.0013531050922541087,5,6,Rice,Landsat 8/9
S2_dry_NBR2,0.016976882132862928,-0.0016766862615764488,6,6,Rice,Sentinel-2
L89_dry_NIR,0.016273517339826134,-0.0029451654879356875,7,6,Rice,Landsat 8/9
DEM_elevation,0.015182589994159279,0.00023236338376241475,8,6,Rice,DEM
S2_wet_B8,0.013828907253727542,-0.0022341839525409067,9,6,Rice,Sentinel-2
S2_wet_NBR2,0.013579147756015694,0.00016596431314675812,10,6,Rice,Sentinel-2
S2_dry_NDMI,0.013346925861149413,-0.0007234845397847881,11,6,Rice,Sentinel-2
S2_wet_CVI,0.012059291964908419,-0.0004657815223498318,12,6,Rice,Sentinel-2
L89_dry_SWIR1,0.0092085365172766,-0.0008308830294924022,13,6,Rice,Landsat 8/9
S2_dry_NDI,0.008436367643201697,0.00028526393582044827,14,6,Rice,Sentinel-2
L89_wet_NBR2,0.006946603530309633,0.000931183845128331,15,6,Rice,Landsat 8/9
S2_dry_B2,0.0052796651104810065,-0.0010459014576075303,16,6,Rice,Sentinel-2
L89_dry_Green,0.005218356564111844,-0.0007187715192561732,17,6,Rice,Landsat 8/9
L89_wet_SWIR2,0.0034903453093161375,-0.00048722994387361115,18,6,Rice,Landsat 8/9
S2_wet_NDMI,0.003083933332457442,-6.988169332504961e-06,19,6,Rice,Sentinel-2
S2_wet_B12,0.0021979759838213165,-0.0009796177740272023,20,6,Rice,Sentinel-2
L89_wet_NIR,0.0017040216393386309,0.00032353932433577625,21,6,Rice,Landsat 8/9
L89_wet_NDMI,0.001629677728452886,8.359986051785375e-05,22,6,Rice,Landsat 8/9
L89_wet_Green,0.0015392024686415242,0.00040310801274618134,23,6,Rice,Landsat 8/9
S2_dry_B5,0.0013906578295693986,-0.00040504230201479944,24,6,Rice,Sentinel-2
L89_wet_MSI,0.0012997584825657155,0.0003396775873225748,25,6,Rice,Landsat 8/9
