,1,2,3,4,5,6,7,8,9,10
1,72,16,0,0,0,0,0,2,0,0
2,3,84,0,1,1,0,0,1,0,0
3,0,0,88,0,1,0,1,0,0,0
4,3,0,0,82,1,0,0,4,0,0
5,0,0,3,0,87,0,0,0,0,0
6,0,0,0,0,0,82,3,0,0,5
7,0,0,1,0,2,0,85,2,0,0
8,0,0,0,0,2,0,0,88,0,0
9,0,0,0,0,0,0,2,0,87,1
10,0,0,0,0,0,0,0,0,3,87
