block_size_km,class_id,class_name,producer_accuracy_mean,producer_accuracy_sd,user_accuracy_mean,user_accuracy_sd,f1_mean,f1_sd,support_true_mean,support_pred_mean
10,1,Sun coffee,0.5203713714039677,0.3327359983458641,0.4317328749681691,0.33357670428197034,0.4441552848529593,0.3083546588592731,60.0,98.8
10,2,Intercrop coffee,0.4836023187338977,0.16060044535088236,0.5643298399115427,0.17482420161063963,0.5009578746860723,0.11343664593107457,60.0,50.4
10,3,Newly planted coffee,0.45981554677206854,0.4071127294665573,0.8920491273432449,0.0954131871249099,0.5151486534892051,0.3707749694679557,60.0,47.8
10,4,Rubber,0.8521193464361827,0.20588508203084102,0.8990365699194222,0.08326615662928118,0.8558825317904601,0.09026128786810574,60.0,43.0
10,5,Partially vegetative,0.4999602604745261,0.33349789182839334,0.5008250746623479,0.3375065317733034,0.5103674082352531,0.22056598354292936,60.0,51.8
10,6,Rice,0.9576923076923076,0.09460287597114497,0.918460028050491,0.06136173551935702,0.9357130888217263,0.06574962927068341,60.0,61.4
10,7,Other upland crops,0.7119298245614034,0.4167661930995366,0.6962353754384167,0.4009982468462382,0.8749991804084845,0.10483859986898081,60.0,46.0
10,8,Forest,0.9,0.08079466429027211,0.7712662905764867,0.1537566547194212,0.8229669359302845,0.11046251595116999,60.0,72.8
10,9,Water,0.9185798737197114,0.14552272618915918,0.9866332497911445,0.018341268504678487,0.9456093222818783,0.08525900226444756,60.0,56.0
10,10,Built,0.9754269125683059,0.020300974218018086,0.8545384382566585,0.16725552874922586,0.9042511686406414,0.10831881650173789,60.0,72.0
15,1,Sun coffee,0.36725146198830405,0.24110097662071975,0.19261363636363638,0.18451042967004547,0.3202453222688909,0.15397534140352218,60.0,100.4
15,2,Intercrop coffee,0.4392846954785337,0.4142865896442457,0.471592963347946,0.3707414565108296,0.2517696267696268,0.14606011697852944,60.0,49.4
15,3,Newly planted coffee,0.22261072261072262,0.006593070220853593,0.7056451612903226,0.4162806050533707,0.3276432857438444,0.060425222559495936,60.0,27.8
15,4,Rubber,0.7753632327716679,0.24987860313285493,0.7755367599219258,0.4356428622229178,0.8464421337256696,0.16679850102736776,60.0,50.2
15,5,Partially vegetative,0.2721034497073353,0.05462139164594642,0.38645587850222574,0.3235889355491442,0.3433364551751142,0.09874397601024251,60.0,38.0
15,6,Rice,0.963759479956663,0.07077750358178705,0.886800034060308,0.11558209713014524,0.9171985788606595,0.05406279055500117,60.0,60.4
15,7,Other upland crops,0.7289598997493735,0.36786191971469545,0.8468171699574139,0.14475964722558116,0.7480991115747319,0.33842323903375854,60.0,47.8
15,8,Forest,0.9066666666666666,0.05082650227325631,0.8644221444683232,0.07787215647866358,0.8839518387868381,0.05631114504611286,60.0,63.2
15,9,Water,0.9566666666666667,0.054772255750516585,0.9611316763617133,0.02936741063334705,0.9577776917568274,0.026140807114583484,60.0,59.8
15,10,Built,0.9606566416040099,0.06060596677948737,0.7496710560995281,0.36719942881981743,0.7803401719053893,0.3284700676053416,60.0,103.0
20,1,Sun coffee,0.4348927875243665,0.30266439539187756,0.33284559643255296,0.2721920089199011,0.342428594637943,0.14821366680004622,60.0,97.8
20,2,Intercrop coffee,0.4858974358974359,0.46774221724749443,0.2541323046909639,0.11300752669775094,0.25330492722139836,0.12390974763249166,60.0,48.2
20,3,Newly planted coffee,0.18725718725718726,0.20053921921763002,0.4968152866242039,0.5000304262720999,0.24040920716112532,0.2170148689063573,60.0,32.2
20,4,Rubber,0.5885102800425381,0.34179827052078565,0.6507492507492507,0.40950898900785004,0.6627435064935064,0.29301881431307086,60.0,34.0
20,5,Partially vegetative,0.37817260990493584,0.14390209775417737,0.40164581961816986,0.43332279613689156,0.4258874862685001,0.049863672940614875,60.0,47.0
20,6,Rice,0.962962962962963,0.08281733249999222,0.8029004329004328,0.21685047407959177,0.8563310879513162,0.13025560236709505,60.0,64.8
20,7,Other upland crops,0.756601161784699,0.3905200542533264,0.8140571039447444,0.1283538205838796,0.7401790659835215,0.3464724709959936,60.0,46.8
20,8,Forest,0.9004592673592127,0.03718353064565311,0.7964021164021163,0.23910731399555735,0.8260757723737647,0.1583133409353478,60.0,75.8
20,9,Water,0.9205315557161464,0.11486815197921242,0.9714271562703815,0.023702974416230056,0.9414794036959521,0.06226113252891053,60.0,55.4
20,10,Built,0.9641225277261004,0.03026207534313821,0.766512085250315,0.2986209757705373,0.8218675012178197,0.22601801573175342,60.0,98.0
