block_size_km,fold,class_id,class_name,producer_accuracy_recall,user_accuracy_precision,f1,support_true,support_pred
10,1,1,Sun coffee,0.8130841121495327,0.3107142857142857,0.44961240310077516,107,280
10,1,2,Intercrop coffee,0.36153846153846153,0.7580645161290323,0.48958333333333326,130,62
10,1,3,Newly planted coffee,0.8743961352657005,0.8190045248868778,0.8457943925233644,207,221
10,1,4,Rubber,0.5776699029126213,0.9596774193548387,0.7212121212121212,206,124
10,1,5,Partially vegetative,0.46107784431137727,0.719626168224299,0.562043795620438,167,107
10,1,6,Rice,1.0,0.8405797101449275,0.9133858267716535,58,69
10,1,7,Other upland crops,0.0,0.0,,82,6
10,1,8,Forest,0.8666666666666667,0.5048543689320388,0.6380368098159509,60,103
10,1,9,Water,0.9482758620689655,0.9649122807017544,0.9565217391304347,58,57
10,1,10,Built,0.9583333333333334,0.5847457627118644,0.7263157894736842,72,118
10,2,1,Sun coffee,0.4888888888888889,0.36666666666666664,0.419047619047619,90,120
10,2,2,Intercrop coffee,0.42105263157894735,0.3333333333333333,0.372093023255814,76,96
10,2,3,Newly planted coffee,0.06060606060606061,1.0,0.1142857142857143,66,4
10,2,4,Rubber,1.0,0.7894736842105263,0.8823529411764706,15,19
10,2,5,Partially vegetative,0.3230769230769231,0.3088235294117647,0.31578947368421056,65,68
10,2,6,Rice,1.0,0.95,0.9743589743589743,57,60
10,2,7,Other upland crops,0.7,0.7954545454545454,0.7446808510638298,50,44
10,2,8,Forest,0.8,0.8421052631578947,0.8205128205128205,60,57
10,2,9,Water,1.0,0.9682539682539683,0.9838709677419354,61,63
10,2,10,Built,0.9508196721311475,0.8285714285714286,0.885496183206107,61,70
10,3,1,Sun coffee,0.9047619047619048,1.0,0.9500000000000001,42,38
10,3,2,Intercrop coffee,,,,0,0
10,3,3,Newly planted coffee,,,,0,0
10,3,4,Rubber,1.0,0.8888888888888888,0.9411764705882353,8,9
10,3,5,Partially vegetative,,0.0,,0,5
10,3,6,Rice,0.7884615384615384,0.8817204301075269,0.83248730964467,104,93
10,3,7,Other upland crops,1.0,0.7611940298507462,0.864406779661017,51,67
10,3,8,Forest,0.9833333333333333,0.8805970149253731,0.9291338582677166,60,67
10,3,9,Water,0.6610169491525424,1.0,0.7959183673469388,59,39
10,3,10,Built,1.0,0.875,0.9333333333333333,42,48
10,4,1,Sun coffee,0.1951219512195122,0.36363636363636365,0.25396825396825395,41,22
10,4,2,Intercrop coffee,0.72,0.5901639344262295,0.6486486486486487,50,61
10,4,3,Newly planted coffee,0.4444444444444444,0.8571428571428571,0.5853658536585367,27,14
10,4,4,Rubber,0.6829268292682927,1.0,0.8115942028985507,41,28
10,4,5,Partially vegetative,0.9803921568627451,0.6756756756756757,0.8,51,74
10,4,6,Rice,1.0,1.0,1.0,35,35
10,4,7,Other upland crops,0.8596491228070176,0.9245283018867925,0.8909090909090909,57,53
10,4,8,Forest,0.9833333333333333,0.7763157894736842,0.8676470588235294,60,76
10,4,9,Water,0.9836065573770492,1.0,0.9917355371900827,61,60
10,4,10,Built,0.984375,0.984375,0.984375,64,64
10,5,1,Sun coffee,0.2,0.11764705882352941,0.14814814814814817,20,34
10,5,2,Intercrop coffee,0.4318181818181818,0.5757575757575758,0.49350649350649356,44,33
10,5,3,Newly planted coffee,,,,0,0
10,5,4,Rubber,1.0,0.8571428571428571,0.923076923076923,30,35
10,5,5,Partially vegetative,0.23529411764705882,0.8,0.3636363636363636,17,5
10,5,6,Rice,1.0,0.92,0.9583333333333334,46,50
10,5,7,Other upland crops,1.0,1.0,1.0,60,60
10,5,8,Forest,0.8666666666666667,0.8524590163934426,0.8595041322314049,60,61
10,5,9,Water,1.0,1.0,1.0,61,61
10,5,10,Built,0.9836065573770492,1.0,0.9917355371900827,61,60
15,1,1,Sun coffee,0.1,0.25,0.14285714285714288,20,8
15,1,2,Intercrop coffee,1.0,0.14285714285714285,0.25,3,21
15,1,3,Newly planted coffee,,,,0,0
15,1,4,Rubber,0.9811320754716981,0.9811320754716981,0.9811320754716981,53,53
15,1,5,Partially vegetative,,0.0,,0,3
15,1,6,Rice,0.8380281690140845,1.0,0.9118773946360154,142,119
15,1,7,Other upland crops,0.8245614035087719,0.8392857142857143,0.8318584070796461,57,56
15,1,8,Forest,0.85,0.8360655737704918,0.8429752066115703,60,61
15,1,9,Water,1.0,0.967741935483871,0.9836065573770492,60,62
15,1,10,Built,1.0,0.7692307692307693,0.8695652173913044,40,52
15,2,1,Sun coffee,0.43333333333333335,0.40625,0.41935483870967744,90,96
15,2,2,Intercrop coffee,0.4605263157894737,0.3211009174311927,0.37837837837837834,76,109
15,2,3,Newly planted coffee,0.22727272727272727,1.0,0.37037037037037035,66,15
15,2,4,Rubber,,0.0,,0,4
15,2,5,Partially vegetative,0.24615384615384617,0.23880597014925373,0.2424242424242424,65,67
15,2,6,Rice,0.9807692307692307,0.9807692307692307,0.9807692307692307,52,52
15,2,7,Other upland crops,1.0,0.9479166666666666,0.9732620320855615,91,96
15,2,8,Forest,0.8666666666666667,0.8524590163934426,0.8595041322314049,60,61
15,2,9,Water,1.0,0.967741935483871,0.9836065573770492,60,62
15,2,10,Built,0.8571428571428571,0.9473684210526315,0.9,21,19
15,3,1,Sun coffee,,0.0,,0,41
15,3,2,Intercrop coffee,0.024390243902439025,1.0,0.047619047619047616,41,1
15,3,3,Newly planted coffee,,,,0,0
15,3,4,Rubber,1.0,1.0,1.0,98,98
15,3,5,Partially vegetative,,,,0,0
15,3,6,Rice,1.0,0.9090909090909091,0.9523809523809523,20,22
15,3,7,Other upland crops,0.8095238095238095,0.9444444444444444,0.8717948717948718,42,36
15,3,8,Forest,0.9666666666666667,1.0,0.983050847457627,60,58
15,3,9,Water,0.95,0.9193548387096774,0.9344262295081968,60,62
15,3,10,Built,0.956140350877193,0.9316239316239316,0.9437229437229437,114,117
15,4,1,Sun coffee,0.5684210526315789,0.3068181818181818,0.3985239852398524,190,352
15,4,2,Intercrop coffee,0.2722222222222222,0.4224137931034483,0.33108108108108103,180,116
15,4,3,Newly planted coffee,0.21794871794871795,0.4112903225806452,0.28491620111731847,234,124
15,4,4,Rubber,0.5909090909090909,0.896551724137931,0.7123287671232877,132,87
15,4,5,Partially vegetative,0.3348623853211009,0.6403508771929824,0.4397590361445783,218,114
