DEM_elevation,S2_dry_CVI,S2_dry_MNDWI,L89_dry_SWIR1,L89_dry_NIR,S2_dry_B2,S1_VHasc_p50,L89_dry_Green,S2_wet_B12,L89_dry_MSI,S2_dry_B5,L89_wet_NBR2,S2_dry_NDI,S2_dry_NDMI,S2_wet_NBR2,S2_wet_B8,L89_wet_MSI,S2_wet_NDMI,L89_wet_NIR,L89_wet_Green,L89_wet_NDMI,S2_dry_NBR2,S2_wet_CVI,L89_dry_BSI,L89_wet_SWIR2
553.0,3.6374943,-0.5877784,0.2436025,0.26800874,0.05425,-17.192835,0.06470125,0.17595,0.8799327,0.1271,0.32198787,-0.037988592,-0.047354896,0.2437852,0.31,0.6758703,0.019774485,0.42046875,0.0734875,0.21825357,0.22555077,3.3596196,-0.0071315956,0.12956
551.0,3.850478,-0.5945528,0.241815,0.27856874,0.0442,-16.495697,0.0617175,0.1861,0.85461587,0.1143,0.30513564,0.024284912,0.03849913,0.26299432,0.32755,0.7306818,0.055645704,0.394,0.07435375,0.1797385,0.25334352,3.847769,-0.02320612,0.13785125
556.0,3.9304142,-0.6029403,0.205515,0.24627,0.04025,-15.886019,0.05634125,0.13005,0.8474483,0.10965,0.33142874,0.015113696,-0.0144321285,0.25330952,0.2535,0.68117577,0.08104026,0.3499725,0.06527875,0.20335205,0.25529185,2.819003,-0.027347473,0.11169875
556.0,3.9669893,-0.61090887,0.2504225,0.243795,0.04275,-16.07137,0.0651275,0.12905,0.9843208,0.11675,0.30107793,-0.028626349,-0.056764577,0.24382746,0.23089999,0.8169107,0.051393308,0.35661376,0.07693875,0.1348556,0.2543093,2.6453686,0.04169953,0.13713625
554.0,4.404733,-0.6094553,0.2242975,0.2576,0.04835,-16.17871,0.061635,0.1631,0.87628114,0.1255,0.30905637,-0.031305823,0.0056615043,0.27543312,0.3132,0.71561944,0.06831091,0.35466126,0.06794625,0.17997809,0.24977927,3.8236327,-0.0062361225,0.12522875
556.0,3.9286292,-0.5668277,0.1784275,0.24473,0.0336,-15.3601,0.04904,0.1323,0.75031954,0.0982,0.3288964,0.08185651,0.0990099,0.31592554,0.4128,0.56363344,0.23722465,0.3747775,0.0633675,0.27907214,0.2726751,3.960899,-0.074502856,0.10745
553.0,3.6705625,-0.5856707,0.17918375,0.2678575,0.03555,-16.536142,0.048545,0.1433,0.65496266,0.106,0.34698656,0.14335604,0.13050179,0.296598,0.3916,0.48592675,0.17150861,0.3709,0.0595175,0.3459618,0.28960043,3.8407888,-0.1570983,0.09266875
538.0,3.7391338,-0.5954407,0.17560875,0.24347875,0.0335,-15.539527,0.047335,0.12525,0.7353027,0.0908,0.3217071,0.17323676,0.12782003,0.30467054,0.36995,0.5619346,0.22587277,0.3827525,0.074065,0.28046337,0.3018414,2.8640523,-0.10586196,0.1017575
544.0,3.8668036,-0.57733995,0.1574175,0.274815,0.0306,-15.251073,0.0469225,0.1158,0.588602,0.08835,0.33763102,0.18083312,0.18320525,0.2846561,0.376,0.51098776,0.28377584,0.36868626,0.06851,0.32401478,0.3254297,2.8632357,-0.19444433,0.09536375
531.0,3.996021,-0.5657805,0.181095,0.2413475,0.035,-15.914662,0.0526425,0.1538,0.7681763,0.1135,0.28883898,0.017142829,0.04777198,0.2661149,0.3584,0.73309344,0.14715323,0.3245625,0.06384875,0.15612057,0.2299814,3.8431015,-0.05617327,0.1276075
534.0,3.6903048,-0.5919411,0.1861275,0.2539425,0.038,-16.063461,0.0513775,0.15245,0.7436723,0.10455,0.30343327,0.060563676,0.040233847,0.27720413,0.3708,0.7623084,0.14381014,0.32457626,0.06827625,0.1353395,0.26619938,2.6662016,-0.10352678,0.131155
515.0,4.7222657,-0.54145324,0.1862925,0.22714375,0.0379,-16.73417,0.05575,0.1479,0.8340351,0.1145,0.256327,-0.13270971,0.025357611,0.2084825,0.2488,0.641054,0.048156187,0.33416,0.073075,0.21872896,0.17400378,3.8687446,0.0022340966,0.1399825
511.0,4.6406837,-0.5634649,0.17906,0.251825,0.03575,-16.336012,0.05322,0.1504,0.726777,0.10945,0.28313538,-0.073141284,0.05680291,0.24582408,0.34829998,0.5649587,0.14835083,0.3819825,0.0687575,0.27798897,0.20641035,3.7493758,-0.05906392,0.12637
506.0,4.674305,-0.58517635,0.16642375,0.2834225,0.0347,-15.23986,0.05172125,0.12355,0.59905946,0.0935,0.31354034,0.08383979,0.20411755,0.31707832,0.35295,0.5871084,0.20294882,0.32559374,0.062185,0.26015538,0.3008445,4.0658207,-0.17922899,0.1008225
