block_size_km,n_folds,n_selected_features_mean,OA_mean,OA_sd,Kappa_mean,Kappa_sd,MacroF1_10class_mean,MacroF1_10class_sd,CoffeeSubclassMacroF1_mean,CoffeeSubclassMacroF1_sd,CoffeeBinaryF1_mean,CoffeeBinaryF1_sd,CoffeeBinaryPrecision_mean,CoffeeBinaryPrecision_sd,CoffeeBinaryRecall_mean,CoffeeBinaryRecall_sd,nearest_train_test_distance_median_m_mean
10,5,25.0,0.7617051507073966,0.11581767212936603,0.7289795804224151,0.12763519001096033,0.7188781921709033,0.07300158054441519,0.38467025889844675,0.15595544646602347,0.8663425394568269,0.07905859852630076,0.8774427145469745,0.11178701058460074,0.8644864227381761,0.09592996513296137,3291.370577598199
15,5,25.0,0.7440200728440945,0.18728098667679483,0.7034619183062956,0.20585589535994403,0.6390051289246124,0.07670993302825263,0.1748734030248579,0.1806002247645748,0.6586167917296202,0.38824885257307556,0.6434349519694347,0.3760938598324982,0.6788707467458324,0.4095627157456578,5820.703668179725
20,5,25.0,0.7452274254062343,0.22103980474458226,0.7057934103714117,0.24445288765252995,0.6060281044884451,0.053201924018258906,0.15120126532668496,0.16388986301339992,0.4790682237188034,0.4492788721150895,0.4905719612084753,0.4607199402121105,0.4701135077610747,0.44209150992731133,5962.252014030056
