feature,rf_importance_mean,rf_importance_sd
DEM_elevation,0.060958083449032974,0.0012478726024231159
S2_dry_CVI,0.07081479968761048,0.0005697934324777441
S2_dry_MNDWI,0.0681986959430758,0.0014660687496818518
L89_dry_SWIR1,0.0464908769511361,0.00018538367146210094
L89_dry_NIR,0.046747224629173925,0.0006390677209445166
S2_dry_B2,0.045967353999255736,0.0005266735976770013
S1_VHasc_p50,0.05586989920105986,0.001024067047962825
L89_dry_Green,0.04184466369077075,0.0008137462818283147
S2_wet_B12,0.03884179937992954,0.0008636346777807145
L89_dry_MSI,0.04098069626544886,0.00046253798999477697
S2_dry_B5,0.030178106204675814,0.000457014996028486
L89_wet_NBR2,0.03887602234800699,0.0009393044665826266
S2_dry_NDI,0.04241171563820341,0.00045219515503912245
S2_dry_NDMI,0.028653837167662993,0.0008792059116047955
S2_wet_NBR2,0.056709537176467775,0.0008638707688680687
S2_wet_B8,0.03336697457413738,0.0007745684079089194
L89_wet_MSI,0.01682090773499867,0.0002920487063170895
S2_wet_NDMI,0.020026318233504585,0.00034291987463674927
L89_wet_NIR,0.024545300047512437,0.0004892768133911863
L89_wet_Green,0.015458929146391359,0.00011608770300299025
L89_wet_NDMI,0.017232867906816916,0.0003562883351854378
S2_dry_NBR2,0.0513977012209272,0.0007746305635416324
S2_wet_CVI,0.036133556321033364,0.0011462071651548097
L89_dry_BSI,0.04670528512898763,0.0010104091681122104
L89_wet_SWIR2,0.024768847954179503,0.00019811132159572005
